file_path,closure_swaps,closure_depth,initial_mapping_method
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_7.json,731,711,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_7.json,1660,1198,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_8.json,958,769,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_8.json,538,1006,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_3.json,1676,2528,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_3.json,2925,2927,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_8.json,605,1257,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_8.json,2129,1652,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_200CYC_QSE_9.json,859,618,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_200CYC_QSE_9.json,974,692,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_3.json,1471,1656,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_3.json,1874,1721,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_7.json,733,1808,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_7.json,2067,2569,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_200CYC_QSE_7.json,439,544,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_200CYC_QSE_7.json,1484,968,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_3.json,954,1762,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_3.json,3459,2625,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_7.json,1439,1675,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_7.json,3352,2482,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_9.json,507,1791,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_9.json,3663,3194,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_4.json,1205,1208,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_4.json,2744,1589,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_0.json,2416,2394,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_0.json,1503,2159,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_4.json,1276,1030,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_4.json,1611,1119,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_0.json,590,762,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_0.json,1137,1054,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_5.json,596,1276,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_5.json,2239,1706,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_0.json,1506,1639,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_0.json,1770,1818,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_5.json,2674,3069,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_5.json,1833,2840,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_6.json,911,905,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_6.json,2001,1295,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_5.json,1034,959,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_5.json,893,766,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_8.json,963,1371,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_8.json,3583,2605,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_6.json,1459,2130,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_6.json,3723,2851,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_7.json,2084,2081,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_7.json,3204,2532,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_8.json,3050,3584,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_8.json,3986,3382,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_2.json,1201,1520,SABRE_INIT
