file_path,decay,more_executed,closure,sabre_swap_count
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_6.json,549,529,486,525
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_7.json,598,559,560,581
benchmarks/polyhedral/queko-bss-16qbt/16QBT_500CYC_QSE_2.json,935,900,831,920
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_9.json,807,865,757,868
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_8.json,204,222,233,216
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_5.json,386,396,349,461
benchmarks/polyhedral/queko-bss-16qbt/16QBT_600CYC_QSE_4.json,1097,1127,1025,1177
benchmarks/polyhedral/queko-bss-16qbt/16QBT_900CYC_QSE_0.json,1620,1597,1523,1533
benchmarks/polyhedral/queko-bss-16qbt/16QBT_900CYC_QSE_2.json,1699,1661,1578,1580
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_2.json,716,728,670,762
benchmarks/polyhedral/queko-bss-16qbt/16QBT_600CYC_QSE_1.json,1148,1471,1061,1127
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_0.json,386,404,366,394
benchmarks/polyhedral/queko-bss-16qbt/16QBT_900CYC_QSE_5.json,1604,1610,1512,1629
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_7.json,849,821,751,801
benchmarks/polyhedral/queko-bss-16qbt/16QBT_700CYC_QSE_1.json,1215,1262,1137,1265
benchmarks/polyhedral/queko-bss-16qbt/16QBT_800CYC_QSE_8.json,1432,1440,1306,1398
benchmarks/polyhedral/queko-bss-16qbt/16QBT_800CYC_QSE_1.json,1426,1715,1374,1438
benchmarks/polyhedral/queko-bss-16qbt/16QBT_600CYC_QSE_6.json,1240,1112,1164,1093
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_1.json,606,590,527,600
benchmarks/polyhedral/queko-bss-16qbt/16QBT_700CYC_QSE_5.json,1257,1234,1221,1292
