file_path,decay,more_executed,closure,sabre_swap_count
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_8.json,1364,1249,1241,1308
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_3.json,3090,3158,2788,3160
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_3.json,332,373,307,331
benchmarks/polyhedral/queko-bss-20qbt/20QBT_600CYC_QSE_2.json,2339,2381,2186,2349
benchmarks/polyhedral/queko-bss-20qbt/20QBT_500CYC_QSE_8.json,2143,2109,2021,2109
benchmarks/polyhedral/queko-bss-20qbt/20QBT_900CYC_QSE_6.json,3237,3421,3519,3925
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_0.json,3386,3383,3253,3369
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_7.json,3153,2942,2863,2900
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_5.json,2766,2715,2711,2827
benchmarks/polyhedral/queko-bss-20qbt/20QBT_600CYC_QSE_4.json,2496,2575,2532,2488
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_2.json,802,907,837,820
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_6.json,2750,2857,2560,2691
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_9.json,2675,2718,2571,2821
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_5.json,1107,1229,1026,1157
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_8.json,379,394,386,376
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_1.json,769,784,936,803
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_5.json,689,690,613,721
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_2.json,2636,2648,2601,2937
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_7.json,763,795,716,852
benchmarks/polyhedral/queko-bss-20qbt/20QBT_400CYC_QSE_3.json,1609,1577,1567,1714
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_3.json,822,792,697,831
benchmarks/polyhedral/queko-bss-20qbt/20QBT_600CYC_QSE_6.json,2449,2367,2486,2725
benchmarks/polyhedral/queko-bss-20qbt/20QBT_400CYC_QSE_1.json,1680,1560,1448,1612
benchmarks/polyhedral/queko-bss-20qbt/20QBT_500CYC_QSE_6.json,2079,2111,1719,2080
benchmarks/polyhedral/queko-bss-20qbt/20QBT_400CYC_QSE_2.json,1658,1556,1537,1828
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_6.json,1090,1068,1017,1087
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_1.json,367,361,326,388
benchmarks/polyhedral/queko-bss-20qbt/20QBT_600CYC_QSE_5.json,2219,2450,2119,2476
benchmarks/polyhedral/queko-bss-20qbt/20QBT_600CYC_QSE_3.json,2528,2460,2318,2583
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_6.json,726,875,763,837
benchmarks/polyhedral/queko-bss-20qbt/20QBT_600CYC_QSE_0.json,2500,2413,2060,2496
benchmarks/polyhedral/queko-bss-20qbt/20QBT_900CYC_QSE_7.json,3675,3645,3773,4114
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_4.json,327,365,313,342
benchmarks/polyhedral/queko-bss-20qbt/20QBT_900CYC_QSE_3.json,3919,4074,3784,3706
benchmarks/polyhedral/queko-bss-20qbt/20QBT_600CYC_QSE_7.json,2409,2425,2156,2452
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_6.json,361,375,346,374
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_2.json,454,453,354,380
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_7.json,3287,3537,3111,3365
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_9.json,402,436,381,416
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_0.json,679,735,612,674
benchmarks/polyhedral/queko-bss-20qbt/20QBT_500CYC_QSE_7.json,2078,2015,1822,2089
benchmarks/polyhedral/queko-bss-20qbt/20QBT_500CYC_QSE_0.json,1969,2341,2038,2052
benchmarks/polyhedral/queko-bss-20qbt/20QBT_400CYC_QSE_0.json,1499,1585,1606,1722
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_0.json,340,353,350,367
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_4.json,3267,3254,3347,3683
benchmarks/polyhedral/queko-bss-20qbt/20QBT_900CYC_QSE_5.json,3762,3615,3330,3821
benchmarks/polyhedral/queko-bss-20qbt/20QBT_400CYC_QSE_7.json,1704,1678,1507,1676
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_8.json,2600,2786,2648,2933
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_3.json,2953,3256,3129,3496
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_1.json,2879,3052,2542,2941
benchmarks/polyhedral/queko-bss-20qbt/20QBT_400CYC_QSE_6.json,1567,1535,1446,1521
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_0.json,1280,1231,1207,1293
benchmarks/polyhedral/queko-bss-20qbt/20QBT_600CYC_QSE_8.json,2552,2694,2326,2638
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_7.json,331,348,329,350
benchmarks/polyhedral/queko-bss-20qbt/20QBT_500CYC_QSE_4.json,2051,2148,2146,2027
benchmarks/polyhedral/queko-bss-20qbt/20QBT_400CYC_QSE_5.json,1638,1741,1507,1645
benchmarks/polyhedral/queko-bss-20qbt/20QBT_900CYC_QSE_8.json,3850,3620,3432,3846
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_2.json,3341,3437,3265,3573
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_5.json,3044,3282,3083,3182
benchmarks/polyhedral/queko-bss-20qbt/20QBT_500CYC_QSE_9.json,2034,2099,1839,1871
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_9.json,743,888,720,748
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_4.json,2733,2983,2822,3193
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_2.json,1227,1129,1175,1139
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_5.json,414,425,430,386
benchmarks/polyhedral/queko-bss-20qbt/20QBT_400CYC_QSE_4.json,1796,1799,1578,1871
benchmarks/polyhedral/queko-bss-20qbt/20QBT_900CYC_QSE_9.json,3493,3679,3159,3547
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_8.json,3119,3113,3011,3287
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_1.json,3399,3658,3374,3607
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_4.json,1209,1391,1097,1233
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_9.json,1232,1312,1225,1218
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_9.json,3293,3063,3076,3263
benchmarks/polyhedral/queko-bss-20qbt/20QBT_400CYC_QSE_9.json,1543,1618,1415,1642
benchmarks/polyhedral/queko-bss-20qbt/20QBT_600CYC_QSE_9.json,2388,2555,2272,2696
benchmarks/polyhedral/queko-bss-20qbt/20QBT_400CYC_QSE_8.json,1599,1716,1733,1679
benchmarks/polyhedral/queko-bss-20qbt/20QBT_900CYC_QSE_0.json,3420,3432,3492,3554
benchmarks/polyhedral/queko-bss-20qbt/20QBT_900CYC_QSE_1.json,3761,4017,3423,3667
benchmarks/polyhedral/queko-bss-20qbt/20QBT_500CYC_QSE_5.json,2180,2011,1741,1960
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_6.json,3400,3988,3278,3573
benchmarks/polyhedral/queko-bss-20qbt/20QBT_900CYC_QSE_2.json,3980,3795,3491,3887
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_0.json,3005,2821,2754,2915
benchmarks/polyhedral/queko-bss-20qbt/20QBT_500CYC_QSE_3.json,1925,2052,1827,1909
benchmarks/polyhedral/queko-bss-20qbt/20QBT_500CYC_QSE_2.json,2009,2265,1817,2208
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_4.json,742,844,717,745
benchmarks/polyhedral/queko-bss-20qbt/20QBT_500CYC_QSE_1.json,1977,2116,1859,2093
benchmarks/polyhedral/queko-bss-20qbt/20QBT_900CYC_QSE_4.json,3646,3938,3492,4043
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_8.json,812,832,789,841
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_1.json,1170,1192,1068,1187
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_7.json,1127,1217,1151,1117
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_3.json,1212,1177,1217,1188
benchmarks/polyhedral/queko-bss-20qbt/20QBT_600CYC_QSE_1.json,2643,2385,2563,2502
