file_path,closure,dag_mode
benchmarks/polyhedral/queko-bss-81qbt/81QBT_400CYC_QSE_0.json,9232,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_400CYC_QSE_0.json,9376,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_400CYC_QSE_0.json,9657,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_200CYC_QSE_7.json,4325,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_200CYC_QSE_7.json,4482,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_200CYC_QSE_7.json,4358,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_600CYC_QSE_5.json,14022,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_600CYC_QSE_5.json,13899,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_600CYC_QSE_5.json,13839,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_800CYC_QSE_3.json,19412,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_800CYC_QSE_3.json,19389,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_800CYC_QSE_3.json,19318,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_500CYC_QSE_0.json,11855,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_500CYC_QSE_0.json,12242,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_500CYC_QSE_0.json,11973,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_100CYC_QSE_2.json,2223,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_100CYC_QSE_2.json,2383,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_100CYC_QSE_2.json,2218,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_100CYC_QSE_6.json,2124,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_100CYC_QSE_6.json,2403,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_100CYC_QSE_6.json,2280,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_600CYC_QSE_4.json,14157,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_600CYC_QSE_4.json,14264,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_600CYC_QSE_4.json,13674,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_900CYC_QSE_8.json,20841,hybrid
