file_path,closure_swaps,closure_depth,initial_mapping_method
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_7.json,7014,3571,SABRE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_7.json,6203,3003,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_9.json,1950,941,SABRE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_9.json,2190,1076,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_0.json,2339,1047,SABRE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_0.json,2153,957,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_8.json,3474,1608,SABRE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_8.json,3392,1710,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_6.json,6648,3332,SABRE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_6.json,7373,3846,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_4.json,7984,3583,SABRE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_4.json,7586,3754,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_7.json,7792,3722,SABRE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_7.json,7847,3771,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_9.json,4148,1942,SABRE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_9.json,4635,2180,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_7.json,8770,4464,SABRE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_7.json,8794,4454,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_0.json,9815,5135,SABRE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_0.json,9768,4970,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_0.json,4029,1988,SABRE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_0.json,4218,1982,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_5.json,1764,940,SABRE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_5.json,1952,967,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_5.json,3336,1698,SABRE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_5.json,3030,1494,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_1.json,7048,3547,SABRE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_1.json,7888,3999,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_1.json,5278,2573,SABRE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_1.json,4758,2555,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_2.json,10090,4979,SABRE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_2.json,8982,4757,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_0.json,4969,2546,SABRE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_0.json,5213,2579,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_4.json,8766,4191,SABRE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_4.json,8206,3977,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_5.json,5251,2738,SABRE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_5.json,5182,2545,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_8.json,2205,1113,SABRE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_8.json,2275,1004,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_4.json,3074,1559,SABRE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_4.json,3152,1608,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_0.json,1087,516,SABRE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_0.json,1314,557,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_2.json,2226,1037,SABRE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_2.json,2292,1019,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_8.json,4259,2136,SABRE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_8.json,4618,2228,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_2.json,6326,3128,SABRE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_2.json,6207,3181,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_2.json,3323,1558,SABRE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_2.json,3166,1377,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_7.json,10117,4918,SABRE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_7.json,9896,4901,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_5.json,4078,1924,SABRE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_5.json,4785,2288,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_4.json,4281,2074,SABRE_INIT
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_4.json,3868,1836,CLOSURE_INIT
