file_path,depth,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/medium/bv_n14__depth17.json,17,21,70,31,54,14,51,4,26
benchmarks/polyhedral/medium/multiplier_n15__depth49.json,49,147,350,119,365,107,351,96,346
benchmarks/polyhedral/medium/ghz_state_n23__depth24.json,24,28,43,3,27,18,42,0,25
benchmarks/polyhedral/medium/bv_n19__depth22.json,22,33,88,58,69,17,62,6,36
benchmarks/polyhedral/medium/ising_n26__depth16.json,16,30,22,46,27,24,25,7,19
benchmarks/polyhedral/medium/multiply_n13__depth7.json,7,51,94,31,83,36,66,11,63
benchmarks/polyhedral/medium/cat_state_n22__depth23.json,23,28,42,2,26,17,36,0,24
benchmarks/polyhedral/medium/qft_n18__depth134.json,134,286,401,160,248,200,284,115,318
benchmarks/polyhedral/medium/wstate_n27__depth55.json,55,42,121,17,108,28,123,0,108
benchmarks/polyhedral/medium/swap_test_n25__depth15.json,15,113,204,60,193,59,177,21,154
benchmarks/polyhedral/medium/qf21_n15__depth52.json,52,92,331,104,324,57,283,41,279
benchmarks/polyhedral/medium/dnn_n16__depth173.json,173,43,451,38,404,35,459,30,395
benchmarks/polyhedral/medium/square_root_n18__depth203.json,203,683,2390,666,2304,435,2094,417,2098
benchmarks/polyhedral/medium/knn_n25__depth15.json,15,113,203,60,192,59,176,21,153
benchmarks/polyhedral/medium/sat_n11__depth51.json,51,184,620,126,602,101,544,77,515
benchmarks/polyhedral/medium/seca_n11__depth37.json,37,41,168,28,161,26,145,18,113
