file_path,depth,qops,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/large/knn_n31__18CYC.json,18,426,132,233,56,220,64,209,32,193
benchmarks/polyhedral/large/qugan_n39__40CYC.json,40,1036,195,345,160,410,165,393,75,399
benchmarks/polyhedral/large/qugan_n71__72CYC.json,72,1932,523,874,399,822,333,759,235,745
benchmarks/polyhedral/large/adder_n64__78CYC.json,78,1156,664,661,285,608,371,587,228,545
benchmarks/polyhedral/large/cat_n35__36CYC.json,36,37,48,74,40,76,26,63,33,62
benchmarks/polyhedral/large/bv_n30__22CYC.json,22,195,42,87,22,75,28,64,9,53
benchmarks/polyhedral/large/adder_n28__42CYC.json,42,496,202,352,90,293,118,293,63,270
benchmarks/polyhedral/large/multiplier_n75__1308CYC.json,1308,15767,6004,10736,5485,10308,4567,9845,3903,9536
benchmarks/polyhedral/large/cat_n65__66CYC.json,66,67,109,158,67,130,59,121,61,118
benchmarks/polyhedral/large/wstate_n76__153CYC.json,153,601,142,448,83,440,86,433,37,378
benchmarks/polyhedral/large/dnn_n51__58CYC.json,58,1378,362,558,235,518,222,625,128,456
benchmarks/polyhedral/large/knn_n67__36CYC.json,36,930,395,510,187,479,213,452,111,408
benchmarks/polyhedral/large/ising_n66__16CYC.json,16,457,116,40,68,31,74,29,44,24
benchmarks/polyhedral/large/ising_n34__16CYC.json,16,233,45,30,36,27,33,27,16,20
benchmarks/polyhedral/large/qft_n63__494CYC.json,494,8689,3199,2149,2625,2058,1750,2001,1529,1728
benchmarks/polyhedral/large/bv_n70__40CYC.json,40,453,106,176,50,128,51,114,27,100
benchmarks/polyhedral/large/ghz_n78__79CYC.json,79,80,147,201,114,190,77,150,92,151
benchmarks/polyhedral/large/swap_test_n41__23CYC.json,23,606,161,309,80,289,106,267,74,261
benchmarks/polyhedral/large/wstate_n36__73CYC.json,73,281,56,205,30,194,41,204,18,175
benchmarks/polyhedral/large/ghz_n40__41CYC.json,41,42,73,101,23,64,33,75,33,69
benchmarks/polyhedral/large/qft_n29__222CYC.json,222,2117,695,726,519,586,445,661,328,582
benchmarks/polyhedral/large/multiplier_n45__462CYC.json,462,5571,2117,3709,1840,3599,1269,3317,1196,3237
