file_path,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/qasmbench-large/square_root_n18.json,683,2053,666,1969,435,1789,417,1800
benchmarks/polyhedral/qasmbench-large/swap_test_n25.json,113,184,60,174,59,157,21,139
benchmarks/polyhedral/qasmbench-large/ising_n26.json,30,31,46,40,24,36,7,32
benchmarks/polyhedral/qasmbench-large/multiplier_n25.json,540,1213,460,1173,363,1122,308,1063
benchmarks/polyhedral/qasmbench-large/qft_n20.json,378,437,165,260,219,298,127,343
benchmarks/polyhedral/qasmbench-large/bv_n19.json,33,59,58,42,17,45,6,26
benchmarks/polyhedral/qasmbench-large/dnn_n16.json,43,317,38,283,35,320,30,285
benchmarks/polyhedral/qasmbench-large/ghz_state_n23.json,28,41,3,25,18,40,0,23
benchmarks/polyhedral/qasmbench-large/cat_state_n22.json,28,40,2,24,17,34,0,22
benchmarks/polyhedral/qasmbench-large/wstate_n27.json,42,94,17,81,28,96,0,81
