file_path,depth,qops,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/large/knn_n31__18CYC.json,18,426,121,247,76,238,59,208,28,190
benchmarks/polyhedral/large/qugan_n39__40CYC.json,40,1036,185,473,151,520,156,456,71,408
benchmarks/polyhedral/large/qugan_n71__72CYC.json,72,1932,641,1291,364,904,419,922,139,744
benchmarks/polyhedral/large/adder_n64__78CYC.json,78,1156,551,814,307,636,301,600,170,614
benchmarks/polyhedral/large/cat_n35__36CYC.json,36,37,43,69,5,40,25,62,0,37
benchmarks/polyhedral/large/bv_n30__22CYC.json,22,195,37,80,20,78,27,60,8,43
benchmarks/polyhedral/large/adder_n28__42CYC.json,42,496,174,376,114,377,93,272,36,263
benchmarks/polyhedral/large/multiplier_n75__1308CYC.json,1308,15767,6568,11640,5641,11203,3667,9750,3864,10250
benchmarks/polyhedral/large/cat_n65__66CYC.json,66,67,96,145,10,72,51,115,6,73
benchmarks/polyhedral/large/wstate_n76__153CYC.json,153,601,220,390,63,306,103,361,73,305
benchmarks/polyhedral/large/dnn_n51__58CYC.json,58,1378,319,663,154,456,268,732,106,452
benchmarks/polyhedral/large/knn_n67__36CYC.json,36,930,379,562,174,515,209,449,82,425
benchmarks/polyhedral/large/ising_n66__16CYC.json,16,457,109,48,87,46,70,27,40,24
benchmarks/polyhedral/large/ising_n34__16CYC.json,16,233,41,34,53,46,32,24,8,19
benchmarks/polyhedral/large/qft_n63__494CYC.json,494,8689,3299,2333,2048,1738,1837,1950,1615,1912
benchmarks/polyhedral/large/bv_n70__40CYC.json,40,453,92,178,147,130,48,111,34,90
benchmarks/polyhedral/large/ghz_n78__79CYC.json,79,80,126,177,17,87,63,139,21,86
benchmarks/polyhedral/large/swap_test_n41__23CYC.json,23,606,159,311,98,312,87,265,37,251
benchmarks/polyhedral/large/wstate_n36__73CYC.json,73,281,89,188,20,144,47,172,0,144
benchmarks/polyhedral/large/ghz_n40__41CYC.json,41,42,61,86,5,45,30,72,0,42
benchmarks/polyhedral/large/qft_n29__222CYC.json,222,2117,664,576,473,531,450,575,336,641
benchmarks/polyhedral/large/multiplier_n45__462CYC.json,462,5571,2077,3877,1684,3788,1287,3454,1177,3428
