file_path,depth,qops,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/large/knn_n31__18CYC.json,18,426,117,321,117,321,70,273,70,273
benchmarks/polyhedral/large/qugan_n39__40CYC.json,40,1036,193,849,193,849,157,739,157,739
benchmarks/polyhedral/large/qugan_n71__72CYC.json,72,1932,530,1565,530,1565,310,1065,310,1065
benchmarks/polyhedral/large/adder_n64__78CYC.json,78,1156,582,1233,582,1233,346,970,346,970
benchmarks/polyhedral/large/cat_n35__36CYC.json,36,37,48,115,48,115,26,64,26,64
benchmarks/polyhedral/large/bv_n30__22CYC.json,22,195,42,65,42,65,27,64,27,64
benchmarks/polyhedral/large/adder_n28__42CYC.json,42,496,183,467,183,467,121,504,121,504
benchmarks/polyhedral/large/multiplier_n75__1308CYC.json,1308,15767,6390,15667,6390,15667,4995,14261,4995,14261
benchmarks/polyhedral/large/cat_n65__66CYC.json,66,67,107,223,107,223,57,133,57,133
benchmarks/polyhedral/large/wstate_n76__153CYC.json,153,601,246,499,246,499,132,501,132,501
benchmarks/polyhedral/large/dnn_n51__58CYC.json,58,1378,329,1084,329,1084,205,786,205,786
benchmarks/polyhedral/large/knn_n67__36CYC.json,36,930,389,762,389,762,210,605,210,605
benchmarks/polyhedral/large/ising_n66__16CYC.json,16,457,115,111,115,111,83,40,83,40
benchmarks/polyhedral/large/ising_n34__16CYC.json,16,233,49,73,49,73,38,35,38,35
benchmarks/polyhedral/large/qft_n63__494CYC.json,494,8689,2393,4132,2393,4132,2196,9040,2196,9040
benchmarks/polyhedral/large/bv_n70__40CYC.json,40,453,99,152,99,152,51,119,51,119
benchmarks/polyhedral/large/ghz_n78__79CYC.json,79,80,145,280,145,280,73,166,73,166
benchmarks/polyhedral/large/swap_test_n41__23CYC.json,23,606,161,481,161,481,110,423,110,423
benchmarks/polyhedral/large/wstate_n36__73CYC.json,73,281,96,240,96,240,58,239,58,239
benchmarks/polyhedral/large/ghz_n40__41CYC.json,41,42,68,138,68,138,33,78,33,78
benchmarks/polyhedral/large/qft_n29__222CYC.json,222,2117,494,848,494,848,451,1932,451,1932
benchmarks/polyhedral/large/multiplier_n45__462CYC.json,462,5571,2529,6047,2529,6047,1406,4746,1406,4746
