file_path,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/qasmbench-large/square_root_n18.json,857,1996,556,1865,501,1755,428,1688
benchmarks/polyhedral/qasmbench-large/swap_test_n25.json,118,186,42,163,64,150,32,146
benchmarks/polyhedral/qasmbench-large/ising_n26.json,35,43,18,25,26,32,12,24
benchmarks/polyhedral/qasmbench-large/multiplier_n25.json,600,1172,507,1121,381,1055,386,1060
benchmarks/polyhedral/qasmbench-large/qft_n20.json,257,389,205,364,210,365,127,351
benchmarks/polyhedral/qasmbench-large/bv_n19.json,35,54,18,46,29,49,13,34
benchmarks/polyhedral/qasmbench-large/dnn_n16.json,56,487,10,176,46,347,6,253
benchmarks/polyhedral/qasmbench-large/ghz_state_n23.json,36,52,13,34,18,40,11,31
benchmarks/polyhedral/qasmbench-large/cat_state_n22.json,36,51,15,35,18,37,13,35
benchmarks/polyhedral/qasmbench-large/wstate_n27.json,78,136,25,92,33,99,7,85
