file_path,depth,qops,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/medium/qf21_n15__52CYC.json,52,359,94,329,65,287,70,301,37,268
benchmarks/polyhedral/medium/multiply_n13__7CYC.json,7,116,48,75,24,77,31,69,13,61
benchmarks/polyhedral/medium/ghz_state_n23__24CYC.json,24,25,35,54,14,39,18,42,6,31
benchmarks/polyhedral/medium/ising_n26__16CYC.json,16,177,36,25,13,16,26,27,6,14
benchmarks/polyhedral/medium/seca_n11__37CYC.json,37,282,47,208,27,148,25,108,19,139
benchmarks/polyhedral/medium/cat_state_n22__23CYC.json,23,24,36,53,13,37,18,37,8,32
benchmarks/polyhedral/medium/bv_n19__22CYC.json,22,129,34,90,18,73,23,75,10,47
benchmarks/polyhedral/medium/multiplier_n15__49CYC.json,49,560,158,371,110,336,107,336,77,326
benchmarks/polyhedral/medium/square_root_n18__203CYC.json,203,2774,704,2137,636,2215,540,1984,476,1986
benchmarks/polyhedral/medium/knn_n25__15CYC.json,15,342,129,211,33,179,58,170,27,172
benchmarks/polyhedral/medium/wstate_n27__55CYC.json,55,209,55,140,23,118,39,126,18,115
benchmarks/polyhedral/medium/bv_n14__17CYC.json,17,94,23,74,9,42,18,59,6,36
benchmarks/polyhedral/medium/sat_n11__51CYC.json,51,731,175,615,103,571,104,560,80,521
benchmarks/polyhedral/medium/swap_test_n25__15CYC.json,15,366,127,210,33,180,58,171,27,173
benchmarks/polyhedral/medium/dnn_n16__173CYC.json,173,2832,53,530,20,249,36,448,8,368
benchmarks/polyhedral/medium/qft_n18__134CYC.json,134,819,212,302,176,331,154,325,94,263
benchmarks/polyhedral/medium/qec9xz_n17__16CYC.json,16,95,81,71,28,54,45,69,18,40
benchmarks/polyhedral/medium/bigadder_n18__37CYC.json,37,330,104,263,65,247,52,228,34,222
benchmarks/polyhedral/medium/qram_n20__24CYC.json,24,346,148,278,82,224,73,246,59,207
