file_path,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/qasmbench-medium/bv_n14.json,43,45,23,34,19,42,9,24
benchmarks/polyhedral/qasmbench-medium/qaoa_n6.json,17,138,10,157,18,124,18,124
benchmarks/polyhedral/qasmbench-medium/multiply_n13.json,51,86,19,68,36,74,24,67
benchmarks/polyhedral/qasmbench-medium/ising_n10.json,0,70,0,70,26,95,3,88
benchmarks/polyhedral/qasmbench-medium/qf21_n15.json,107,295,61,280,62,289,60,289
benchmarks/polyhedral/qasmbench-medium/multiplier_n15.json,176,405,117,360,119,415,120,407
benchmarks/polyhedral/qasmbench-medium/qpe_n9.json,27,108,14,101,30,120,17,105
benchmarks/polyhedral/qasmbench-medium/simon_n6.json,8,31,5,33,5,38,4,37
benchmarks/polyhedral/qasmbench-medium/seca_n11.json,47,153,27,89,30,128,19,121
benchmarks/polyhedral/qasmbench-medium/qft_n15.json,125,231,105,224,128,181,95,188
benchmarks/polyhedral/qasmbench-medium/dnn_n8.json,18,280,16,324,42,204,16,184
