file_path,depth,qops,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/medium/qf21_n15__52CYC.json,52,359,94,330,73,299,66,288,42,278
benchmarks/polyhedral/medium/multiply_n13__7CYC.json,7,116,44,80,16,64,31,69,16,59
benchmarks/polyhedral/medium/ghz_state_n23__24CYC.json,24,25,35,54,11,36,18,42,12,37
benchmarks/polyhedral/medium/ising_n26__16CYC.json,16,177,33,30,18,17,26,23,18,22
benchmarks/polyhedral/medium/seca_n11__37CYC.json,37,282,46,245,30,120,28,151,18,111
benchmarks/polyhedral/medium/cat_state_n22__23CYC.json,23,24,36,53,13,37,18,37,14,37
benchmarks/polyhedral/medium/bv_n19__22CYC.json,22,129,34,90,18,70,23,75,12,46
benchmarks/polyhedral/medium/multiplier_n15__49CYC.json,49,560,161,367,107,340,123,349,86,317
benchmarks/polyhedral/medium/square_root_n18__203CYC.json,203,2774,919,2305,735,2134,525,1981,437,1934
benchmarks/polyhedral/medium/knn_n25__15CYC.json,15,342,129,210,35,184,58,167,31,151
benchmarks/polyhedral/medium/wstate_n27__55CYC.json,55,209,34,150,11,135,23,146,5,127
benchmarks/polyhedral/medium/bv_n14__17CYC.json,17,94,23,74,12,53,18,59,8,32
benchmarks/polyhedral/medium/sat_n11__51CYC.json,51,731,188,642,122,598,104,563,101,565
benchmarks/polyhedral/medium/swap_test_n25__15CYC.json,15,366,129,212,36,183,58,169,31,154
benchmarks/polyhedral/medium/dnn_n16__173CYC.json,173,2832,53,530,35,255,36,448,8,368
benchmarks/polyhedral/medium/qft_n18__134CYC.json,134,819,226,321,150,243,160,384,128,301
benchmarks/polyhedral/medium/qec9xz_n17__16CYC.json,16,95,64,66,31,43,29,65,17,39
benchmarks/polyhedral/medium/bigadder_n18__37CYC.json,37,330,107,271,67,256,52,231,42,227
benchmarks/polyhedral/medium/qram_n20__24CYC.json,24,346,158,259,83,232,82,208,54,195
