file_path,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/qasmbench-medium/bv_n14.json,21,47,31,33,14,36,4,19
benchmarks/polyhedral/qasmbench-medium/qaoa_n6.json,18,123,14,158,18,123,7,165
benchmarks/polyhedral/qasmbench-medium/multiply_n13.json,51,87,31,76,36,60,11,57
benchmarks/polyhedral/qasmbench-medium/ising_n10.json,0,70,46,122,28,121,2,71
benchmarks/polyhedral/qasmbench-medium/qf21_n15.json,92,311,104,312,57,277,41,267
benchmarks/polyhedral/qasmbench-medium/multiplier_n15.json,151,378,127,386,117,393,99,356
benchmarks/polyhedral/qasmbench-medium/qpe_n9.json,23,112,25,111,31,113,13,104
benchmarks/polyhedral/qasmbench-medium/simon_n6.json,5,38,6,38,5,38,3,29
benchmarks/polyhedral/qasmbench-medium/seca_n11.json,41,147,28,142,26,132,18,96
benchmarks/polyhedral/qasmbench-medium/qft_n15.json,169,334,87,187,135,189,62,211
benchmarks/polyhedral/qasmbench-medium/dnn_n8.json,18,276,21,179,22,319,8,177
