file_path,depth,qops,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/medium/qf21_n15__52CYC.json,52,359,92,331,104,324,57,283,41,279
benchmarks/polyhedral/medium/multiply_n13__7CYC.json,7,116,51,94,31,83,36,66,11,63
benchmarks/polyhedral/medium/ghz_state_n23__24CYC.json,24,25,28,43,3,27,18,42,0,25
benchmarks/polyhedral/medium/ising_n26__16CYC.json,16,177,30,22,46,27,24,25,7,19
benchmarks/polyhedral/medium/seca_n11__37CYC.json,37,282,41,168,28,161,26,145,18,113
benchmarks/polyhedral/medium/cat_state_n22__23CYC.json,23,24,28,42,2,26,17,36,0,24
benchmarks/polyhedral/medium/bv_n19__22CYC.json,22,129,33,88,58,69,17,62,6,36
benchmarks/polyhedral/medium/multiplier_n15__49CYC.json,49,560,147,350,119,365,107,351,96,346
benchmarks/polyhedral/medium/square_root_n18__203CYC.json,203,2774,683,2390,666,2304,435,2094,417,2098
benchmarks/polyhedral/medium/knn_n25__15CYC.json,15,342,113,203,60,192,59,176,21,153
benchmarks/polyhedral/medium/wstate_n27__55CYC.json,55,209,42,121,17,108,28,123,0,108
benchmarks/polyhedral/medium/bv_n14__17CYC.json,17,94,21,70,31,54,14,51,4,26
benchmarks/polyhedral/medium/sat_n11__51CYC.json,51,731,162,615,159,623,100,553,63,514
benchmarks/polyhedral/medium/swap_test_n25__15CYC.json,15,366,113,204,60,193,59,177,21,154
benchmarks/polyhedral/medium/dnn_n16__173CYC.json,173,2832,43,451,38,404,35,459,30,395
benchmarks/polyhedral/medium/qft_n18__134CYC.json,134,819,286,401,160,248,200,284,115,318
benchmarks/polyhedral/medium/qec9xz_n17__16CYC.json,16,95,100,95,29,48,34,48,14,48
benchmarks/polyhedral/medium/bigadder_n18__37CYC.json,37,330,101,284,50,238,54,217,30,207
benchmarks/polyhedral/medium/qram_n20__24CYC.json,24,346,146,276,104,248,73,222,57,249
