file_path,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/qft/10.json,43,42,61,53,57,56,21,34
benchmarks/polyhedral/qft/11.json,53,47,70,58,64,64,25,38
benchmarks/polyhedral/qft/12.json,64,52,99,69,71,76,31,37
benchmarks/polyhedral/qft/13.json,76,57,126,83,80,81,38,45
benchmarks/polyhedral/qft/14.json,89,62,153,95,99,82,58,68
benchmarks/polyhedral/qft/15.json,115,78,175,107,129,100,75,84
benchmarks/polyhedral/qft/16.json,152,102,223,120,118,96,104,106
benchmarks/polyhedral/qft/17.json,193,137,246,133,169,125,122,111
benchmarks/polyhedral/qft/18.json,224,140,294,142,167,133,129,128
benchmarks/polyhedral/qft/19.json,292,172,348,172,174,127,144,128
benchmarks/polyhedral/qft/20.json,334,179,391,179,166,141,131,113
benchmarks/polyhedral/qft/21.json,399,199,438,189,189,144,179,129
benchmarks/polyhedral/qft/22.json,424,186,490,209,247,169,185,138
benchmarks/polyhedral/qft/23.json,389,197,538,223,263,160,205,147
benchmarks/polyhedral/qft/24.json,419,213,604,243,272,184,325,196
benchmarks/polyhedral/qft/25.json,485,250,662,270,319,209,348,210
benchmarks/polyhedral/qft/26.json,545,265,739,277,325,220,315,198
benchmarks/polyhedral/qft/27.json,537,245,817,304,301,196,325,206
benchmarks/polyhedral/qft/28.json,555,244,898,320,401,222,332,215
benchmarks/polyhedral/qft/29.json,645,275,973,343,439,241,357,213
benchmarks/polyhedral/qft/30.json,666,280,1045,352,417,241,396,241
benchmarks/polyhedral/qft/31.json,727,281,1147,377,479,261,434,250
benchmarks/polyhedral/qft/32.json,759,285,1092,367,505,273,453,262
benchmarks/polyhedral/qft/33.json,845,313,1183,380,531,285,509,279
benchmarks/polyhedral/qft/34.json,908,357,1108,370,596,330,598,319
benchmarks/polyhedral/qft/35.json,1030,429,1173,384,635,343,648,325
benchmarks/polyhedral/qft/36.json,1102,446,1163,375,626,326,623,307
benchmarks/polyhedral/qft/37.json,1065,457,1217,388,722,338,664,316
benchmarks/polyhedral/qft/38.json,error,error,1150,384,789,389,716,334
benchmarks/polyhedral/qft/39.json,error,error,1184,386,727,371,735,325
benchmarks/polyhedral/qft/40.json,1391,507,1246,390,807,383,729,349
benchmarks/polyhedral/qft/41.json,1558,559,1304,402,839,402,788,380
benchmarks/polyhedral/qft/42.json,1451,526,1233,424,728,338,894,397
benchmarks/polyhedral/qft/43.json,1618,583,1275,404,856,411,952,431
benchmarks/polyhedral/qft/44.json,1597,539,1595,463,1025,454,947,410
benchmarks/polyhedral/qft/45.json,1840,616,1666,468,1032,476,971,428
benchmarks/polyhedral/qft/46.json,1926,643,1567,467,1038,473,1267,497
benchmarks/polyhedral/qft/47.json,2020,655,1662,481,1085,512,1307,528
benchmarks/polyhedral/qft/48.json,2023,635,1910,538,error,error,1440,630
benchmarks/polyhedral/qft/49.json,1913,582,1929,511,1252,527,1356,539
benchmarks/polyhedral/qft/50.json,2120,584,1997,597,1332,555,1545,704
benchmarks/polyhedral/qft/51.json,2052,642,2038,592,1291,513,1237,543
benchmarks/polyhedral/qft/52.json,2133,598,2213,576,1382,552,1269,521
benchmarks/polyhedral/qft/53.json,2217,611,2288,578,1477,580,1285,524
benchmarks/polyhedral/qft/54.json,2406,740,2169,602,1470,578,1244,506
benchmarks/polyhedral/qft/55.json,2568,823,2290,646,1565,593,1348,561
benchmarks/polyhedral/qft/56.json,2787,775,2608,665,1648,634,1464,581
benchmarks/polyhedral/qft/57.json,2747,782,2540,623,1614,631,1511,587
benchmarks/polyhedral/qft/58.json,2932,840,2864,787,2007,790,1477,589
benchmarks/polyhedral/qft/59.json,2736,779,2961,803,1784,671,1564,618
benchmarks/polyhedral/qft/60.json,3256,919,3025,860,1865,683,1728,634
benchmarks/polyhedral/qft/61.json,2994,812,3154,892,1863,667,1723,614
benchmarks/polyhedral/qft/62.json,3204,926,3257,1011,1896,700,1928,693
benchmarks/polyhedral/qft/63.json,3704,1026,3407,1009,1986,741,1990,693
benchmarks/polyhedral/qft/64.json,3160,879,4024,1022,2067,731,2157,757
benchmarks/polyhedral/qft/65.json,3590,932,3938,919,2051,707,2284,794
benchmarks/polyhedral/qft/66.json,3682,922,4212,1027,2233,782,2381,759
benchmarks/polyhedral/qft/67.json,4030,1046,4354,1022,2330,774,2540,801
benchmarks/polyhedral/qft/68.json,4166,1065,4651,1264,2348,791,2553,821
benchmarks/polyhedral/qft/69.json,3925,933,4642,1257,2415,811,2614,849
benchmarks/polyhedral/qft/70.json,3686,912,4740,1268,2620,868,2457,787
benchmarks/polyhedral/qft/71.json,3779,927,4925,1204,2733,910,2827,943
benchmarks/polyhedral/qft/72.json,4508,1080,5270,1307,2612,822,2598,803
benchmarks/polyhedral/qft/73.json,4824,1163,4664,1123,2674,842,2748,848
benchmarks/polyhedral/qft/74.json,5101,1278,5077,1180,2753,866,3031,904
benchmarks/polyhedral/qft/75.json,4488,1143,5204,1209,2663,847,3242,974
benchmarks/polyhedral/qft/76.json,error,error,5112,1158,2788,842,3300,993
benchmarks/polyhedral/qft/77.json,error,error,4999,1146,2884,885,3588,1054
benchmarks/polyhedral/qft/78.json,5753,1369,5464,1226,2998,928,4289,1453
benchmarks/polyhedral/qft/79.json,5436,1288,5701,1254,2951,899,3702,1021
benchmarks/polyhedral/qft/80.json,5338,1285,5698,1328,3006,911,3690,1076
