file_path,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/qft/10.json,40,46,33,46,53,53,21,48
benchmarks/polyhedral/qft/11.json,49,51,51,56,66,73,37,63
benchmarks/polyhedral/qft/12.json,60,57,55,64,68,80,43,57
benchmarks/polyhedral/qft/13.json,71,62,70,72,85,76,61,74
benchmarks/polyhedral/qft/14.json,84,68,83,77,92,95,55,64
benchmarks/polyhedral/qft/15.json,116,86,112,100,104,107,58,67
benchmarks/polyhedral/qft/16.json,156,100,125,93,143,122,90,98
benchmarks/polyhedral/qft/17.json,178,119,138,103,165,125,86,89
benchmarks/polyhedral/qft/18.json,201,135,131,87,172,133,107,112
benchmarks/polyhedral/qft/19.json,265,146,184,106,142,120,121,138
benchmarks/polyhedral/qft/20.json,359,199,232,166,179,146,153,138
benchmarks/polyhedral/qft/21.json,314,173,239,171,213,151,142,121
benchmarks/polyhedral/qft/22.json,429,213,261,150,246,176,158,128
benchmarks/polyhedral/qft/23.json,396,191,293,190,325,208,205,148
benchmarks/polyhedral/qft/24.json,399,206,365,197,304,197,204,178
benchmarks/polyhedral/qft/25.json,503,219,438,225,292,204,236,187
benchmarks/polyhedral/qft/26.json,530,229,357,192,386,233,274,191
benchmarks/polyhedral/qft/27.json,544,254,475,286,354,222,288,212
benchmarks/polyhedral/qft/28.json,607,253,530,236,453,272,347,224
benchmarks/polyhedral/qft/29.json,675,305,555,283,418,261,388,231
benchmarks/polyhedral/qft/30.json,624,260,500,274,456,256,412,261
benchmarks/polyhedral/qft/31.json,687,308,593,246,459,281,412,257
benchmarks/polyhedral/qft/32.json,870,331,573,272,460,266,452,242
benchmarks/polyhedral/qft/33.json,899,379,739,315,523,305,438,261
benchmarks/polyhedral/qft/34.json,989,401,801,310,593,311,475,302
benchmarks/polyhedral/qft/35.json,1045,436,601,197,684,342,489,304
benchmarks/polyhedral/qft/36.json,1082,417,771,315,860,398,564,340
benchmarks/polyhedral/qft/37.json,1297,479,1009,420,773,381,576,349
benchmarks/polyhedral/qft/38.json,1206,414,1081,464,801,389,620,339
benchmarks/polyhedral/qft/39.json,1317,495,1089,386,804,420,703,386
benchmarks/polyhedral/qft/40.json,1404,461,1109,363,816,376,717,386
benchmarks/polyhedral/qft/41.json,1645,581,1364,449,909,434,831,388
benchmarks/polyhedral/qft/42.json,1575,493,1519,477,966,430,783,359
benchmarks/polyhedral/qft/43.json,1737,586,1294,430,997,463,924,425
benchmarks/polyhedral/qft/44.json,1793,545,1485,531,1091,500,934,392
benchmarks/polyhedral/qft/45.json,1789,492,1475,516,1125,521,963,458
benchmarks/polyhedral/qft/46.json,2005,625,1740,509,1171,521,1020,416
benchmarks/polyhedral/qft/47.json,1995,617,1672,554,1283,588,976,445
benchmarks/polyhedral/qft/48.json,2165,781,1951,601,1303,536,1093,433
benchmarks/polyhedral/qft/49.json,2243,618,2038,552,1336,546,1084,488
benchmarks/polyhedral/qft/50.json,2312,613,2064,656,1438,550,1274,534
benchmarks/polyhedral/qft/51.json,2427,742,1799,593,1569,629,1236,495
benchmarks/polyhedral/qft/52.json,2494,741,1859,475,1580,586,1393,565
benchmarks/polyhedral/qft/53.json,2551,726,2483,700,1749,682,1442,618
benchmarks/polyhedral/qft/54.json,2996,783,2630,698,1671,627,1427,592
benchmarks/polyhedral/qft/55.json,2682,754,2534,695,1840,689,1378,554
benchmarks/polyhedral/qft/56.json,2916,742,2786,761,1827,666,1552,599
benchmarks/polyhedral/qft/57.json,2962,787,2570,725,1986,749,1408,543
benchmarks/polyhedral/qft/58.json,3337,764,2705,707,2031,731,1650,639
benchmarks/polyhedral/qft/59.json,3616,942,2956,827,2100,743,1718,671
benchmarks/polyhedral/qft/60.json,3327,831,3293,817,1944,714,1853,681
benchmarks/polyhedral/qft/61.json,3800,981,3123,797,2193,733,2021,729
benchmarks/polyhedral/qft/62.json,3851,1022,2965,839,2366,788,2011,755
benchmarks/polyhedral/qft/63.json,3817,1000,3300,818,2214,752,1945,712
benchmarks/polyhedral/qft/64.json,3966,957,3986,874,2477,926,2062,706
benchmarks/polyhedral/qft/65.json,4207,1000,3420,798,2464,849,2468,838
benchmarks/polyhedral/qft/66.json,4438,923,3545,882,2660,909,2073,721
benchmarks/polyhedral/qft/67.json,4845,1213,3850,940,2896,905,2372,869
benchmarks/polyhedral/qft/68.json,4835,1148,4384,1024,2758,891,2371,710
benchmarks/polyhedral/qft/69.json,4413,1015,4210,1001,2811,1077,2628,1093
benchmarks/polyhedral/qft/70.json,5180,1060,4372,1007,3078,953,2568,843
benchmarks/polyhedral/qft/71.json,5232,1146,5207,1303,3025,911,2710,846
benchmarks/polyhedral/qft/72.json,5019,1077,4641,934,3062,934,2748,977
benchmarks/polyhedral/qft/73.json,5200,1206,4790,1012,3227,951,2828,909
benchmarks/polyhedral/qft/74.json,5513,1347,4812,916,3432,1013,3103,970
benchmarks/polyhedral/qft/75.json,5789,1283,4954,1095,3417,1094,3120,1072
benchmarks/polyhedral/qft/76.json,6215,1276,5374,1046,3302,992,2645,816
benchmarks/polyhedral/qft/77.json,6459,1393,5732,1282,3779,1038,3012,917
benchmarks/polyhedral/qft/78.json,6261,1295,5817,1081,3591,994,3152,1011
benchmarks/polyhedral/qft/79.json,6569,1287,6131,1384,3858,1106,3498,979
benchmarks/polyhedral/qft/80.json,6536,1381,6402,1257,3792,1095,3360,1052
