file_path,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/qft/10.json,42,80,42,80,42,85,42,85
benchmarks/polyhedral/qft/11.json,49,79,49,79,52,115,52,115
benchmarks/polyhedral/qft/12.json,72,94,72,94,74,139,74,139
benchmarks/polyhedral/qft/13.json,71,102,71,102,68,138,68,138
benchmarks/polyhedral/qft/14.json,84,117,84,117,86,169,86,169
benchmarks/polyhedral/qft/15.json,110,135,110,135,100,206,100,206
benchmarks/polyhedral/qft/16.json,130,142,130,142,111,268,111,268
benchmarks/polyhedral/qft/17.json,250,374,250,374,139,275,139,275
benchmarks/polyhedral/qft/18.json,197,287,197,287,152,226,152,226
benchmarks/polyhedral/qft/19.json,274,407,274,407,153,329,153,329
benchmarks/polyhedral/qft/20.json,306,176,306,176,182,329,182,329
benchmarks/polyhedral/qft/21.json,306,312,306,312,200,363,200,363
benchmarks/polyhedral/qft/22.json,274,227,274,227,221,413,221,413
benchmarks/polyhedral/qft/23.json,493,512,493,512,235,410,235,410
benchmarks/polyhedral/qft/24.json,526,608,526,608,310,618,310,618
benchmarks/polyhedral/qft/25.json,416,300,416,300,300,708,300,708
benchmarks/polyhedral/qft/26.json,433,317,433,317,368,739,368,739
benchmarks/polyhedral/qft/27.json,542,628,542,628,350,676,350,676
benchmarks/polyhedral/qft/28.json,475,360,475,360,358,731,358,731
benchmarks/polyhedral/qft/29.json,566,454,566,454,433,825,433,825
benchmarks/polyhedral/qft/30.json,545,374,545,374,448,749,448,749
benchmarks/polyhedral/qft/31.json,562,403,562,403,538,1096,538,1096
benchmarks/polyhedral/qft/32.json,681,722,681,722,634,1146,634,1146
benchmarks/polyhedral/qft/33.json,743,689,743,689,603,1204,603,1204
benchmarks/polyhedral/qft/34.json,907,1047,907,1047,645,1158,645,1158
benchmarks/polyhedral/qft/35.json,975,990,975,990,684,1313,684,1313
benchmarks/polyhedral/qft/36.json,943,1009,943,1009,724,1423,724,1423
benchmarks/polyhedral/qft/37.json,1077,1450,1077,1450,771,1585,771,1585
benchmarks/polyhedral/qft/38.json,1507,1939,1507,1939,836,1374,836,1374
benchmarks/polyhedral/qft/39.json,1287,1457,1287,1457,829,1090,829,1090
benchmarks/polyhedral/qft/40.json,1418,1395,1418,1395,1053,1958,1053,1958
benchmarks/polyhedral/qft/41.json,1411,1351,1411,1351,966,1608,966,1608
benchmarks/polyhedral/qft/42.json,1989,2526,1989,2526,940,1445,940,1445
benchmarks/polyhedral/qft/43.json,1827,2658,1827,2658,1058,1836,1058,1836
benchmarks/polyhedral/qft/44.json,2242,2962,2242,2962,1050,2024,1050,2024
benchmarks/polyhedral/qft/45.json,2406,2744,2406,2744,1076,1889,1076,1889
benchmarks/polyhedral/qft/46.json,2276,2877,2276,2877,1130,1769,1130,1769
benchmarks/polyhedral/qft/47.json,2394,2938,2394,2938,1210,2485,1210,2485
benchmarks/polyhedral/qft/48.json,2404,3197,2404,3197,1351,2628,1351,2628
benchmarks/polyhedral/qft/49.json,2325,2841,2325,2841,1196,1984,1196,1984
benchmarks/polyhedral/qft/50.json,2474,2823,2474,2823,1376,2380,1376,2380
benchmarks/polyhedral/qft/51.json,2341,2787,2341,2787,1373,2500,1373,2500
benchmarks/polyhedral/qft/52.json,2260,2706,2260,2706,1433,2131,1433,2131
benchmarks/polyhedral/qft/53.json,2233,2264,2233,2264,1468,1945,1468,1945
benchmarks/polyhedral/qft/54.json,2279,2321,2279,2321,1598,1968,1598,1968
benchmarks/polyhedral/qft/55.json,2748,3738,2748,3738,1722,2604,1722,2604
benchmarks/polyhedral/qft/56.json,2394,2460,2394,2460,1746,3326,1746,3326
benchmarks/polyhedral/qft/57.json,2864,3511,2864,3511,1608,2411,1608,2411
benchmarks/polyhedral/qft/58.json,2867,3052,2867,3052,1964,3651,1964,3651
benchmarks/polyhedral/qft/59.json,2850,3146,2850,3146,2195,3981,2195,3981
benchmarks/polyhedral/qft/60.json,2926,2668,2926,2668,2028,3280,2028,3280
benchmarks/polyhedral/qft/61.json,3635,4092,3635,4092,1963,2993,1963,2993
benchmarks/polyhedral/qft/62.json,3422,3889,3422,3889,1940,3744,1940,3744
benchmarks/polyhedral/qft/63.json,2154,846,2154,846,2437,3671,2437,3671
benchmarks/polyhedral/qft/64.json,2084,875,2084,875,2315,4514,2315,4514
benchmarks/polyhedral/qft/65.json,3164,3308,3164,3308,2358,3783,2358,3783
benchmarks/polyhedral/qft/66.json,2147,884,2147,884,2365,4315,2365,4315
benchmarks/polyhedral/qft/67.json,3610,4043,3610,4043,2434,3756,2434,3756
benchmarks/polyhedral/qft/68.json,2235,900,2235,900,2573,4603,2573,4603
benchmarks/polyhedral/qft/69.json,2343,918,2343,918,2647,4540,2647,4540
benchmarks/polyhedral/qft/70.json,3175,3092,3175,3092,2848,4516,2848,4516
benchmarks/polyhedral/qft/71.json,3546,3525,3546,3525,2461,4005,2461,4005
benchmarks/polyhedral/qft/72.json,3674,4179,3674,4179,2547,3599,2547,3599
benchmarks/polyhedral/qft/73.json,3818,4985,3818,4985,2948,5071,2948,5071
benchmarks/polyhedral/qft/74.json,3060,2094,3060,2094,3070,5254,3070,5254
benchmarks/polyhedral/qft/75.json,3443,2970,3443,2970,2568,3854,2568,3854
benchmarks/polyhedral/qft/76.json,2957,2742,2957,2742,2898,4136,2898,4136
benchmarks/polyhedral/qft/77.json,4475,4805,4475,4805,3050,5009,3050,5009
benchmarks/polyhedral/qft/78.json,4449,4806,4449,4806,3044,4955,3044,4955
