file_path,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/qft/10.json,48,56,39,59,55,67,22,48
benchmarks/polyhedral/qft/11.json,82,84,53,63,62,63,37,57
benchmarks/polyhedral/qft/12.json,93,83,68,82,79,90,43,75
benchmarks/polyhedral/qft/13.json,82,75,69,81,92,89,48,73
benchmarks/polyhedral/qft/14.json,100,78,92,93,97,95,69,86
benchmarks/polyhedral/qft/15.json,153,111,116,96,124,106,68,85
benchmarks/polyhedral/qft/16.json,162,110,136,109,163,150,79,99
benchmarks/polyhedral/qft/17.json,194,130,139,110,163,117,97,98
benchmarks/polyhedral/qft/18.json,214,156,141,103,157,120,109,113
benchmarks/polyhedral/qft/19.json,270,174,203,128,187,142,120,131
benchmarks/polyhedral/qft/20.json,292,155,203,166,213,160,147,138
benchmarks/polyhedral/qft/21.json,364,212,219,153,239,184,141,135
benchmarks/polyhedral/qft/22.json,400,233,310,174,272,197,161,148
benchmarks/polyhedral/qft/23.json,469,260,323,249,314,226,202,157
benchmarks/polyhedral/qft/24.json,492,309,384,243,294,217,192,196
benchmarks/polyhedral/qft/25.json,537,278,394,203,304,234,223,181
benchmarks/polyhedral/qft/26.json,534,293,434,227,378,285,235,179
benchmarks/polyhedral/qft/27.json,524,257,450,278,327,265,270,206
benchmarks/polyhedral/qft/28.json,582,276,508,256,389,265,307,249
benchmarks/polyhedral/qft/29.json,565,267,522,296,461,295,309,220
benchmarks/polyhedral/qft/30.json,704,302,599,319,512,335,372,245
benchmarks/polyhedral/qft/31.json,802,392,667,312,476,279,374,282
benchmarks/polyhedral/qft/32.json,792,417,670,321,556,351,406,265
benchmarks/polyhedral/qft/33.json,892,407,729,326,571,399,384,258
benchmarks/polyhedral/qft/34.json,886,371,714,315,616,392,436,325
benchmarks/polyhedral/qft/35.json,981,472,696,233,623,387,438,293
benchmarks/polyhedral/qft/36.json,960,485,973,408,605,419,511,338
benchmarks/polyhedral/qft/37.json,1186,499,823,346,722,451,519,341
benchmarks/polyhedral/qft/38.json,1313,592,1055,490,744,461,585,347
benchmarks/polyhedral/qft/39.json,1315,548,945,394,752,407,652,431
benchmarks/polyhedral/qft/40.json,1270,526,965,345,820,465,633,381
benchmarks/polyhedral/qft/41.json,1437,661,1142,560,866,472,616,375
benchmarks/polyhedral/qft/42.json,1383,596,1247,516,948,552,582,259
benchmarks/polyhedral/qft/43.json,1406,649,1420,538,964,523,779,421
benchmarks/polyhedral/qft/44.json,1554,616,1475,639,1025,537,752,401
benchmarks/polyhedral/qft/45.json,1672,725,1348,616,1065,568,834,441
benchmarks/polyhedral/qft/46.json,1530,499,1468,630,998,611,824,398
benchmarks/polyhedral/qft/47.json,1785,592,1538,530,1090,606,823,365
benchmarks/polyhedral/qft/48.json,1954,779,1443,537,1190,706,944,496
benchmarks/polyhedral/qft/49.json,1858,746,1786,713,1182,560,991,477
benchmarks/polyhedral/qft/50.json,2457,989,1723,686,1292,666,1051,575
benchmarks/polyhedral/qft/51.json,2450,930,1744,692,1360,698,1070,464
benchmarks/polyhedral/qft/52.json,2194,717,1785,579,1388,700,1174,652
benchmarks/polyhedral/qft/53.json,2307,935,2231,826,1364,580,1159,628
benchmarks/polyhedral/qft/54.json,2517,882,2540,978,1592,780,1329,697
benchmarks/polyhedral/qft/55.json,2528,895,1842,642,1599,793,1211,598
benchmarks/polyhedral/qft/56.json,2566,1095,1959,717,1671,874,1206,536
benchmarks/polyhedral/qft/57.json,2695,928,2165,726,1551,818,1274,591
benchmarks/polyhedral/qft/58.json,2924,1001,2450,898,1708,834,1470,727
benchmarks/polyhedral/qft/59.json,3058,1092,2270,864,1839,932,1419,619
benchmarks/polyhedral/qft/60.json,3001,1182,2588,704,1933,894,1403,627
benchmarks/polyhedral/qft/61.json,3385,1337,2554,825,1904,808,1698,779
benchmarks/polyhedral/qft/62.json,3313,1245,2425,725,1914,914,1588,738
benchmarks/polyhedral/qft/63.json,3139,1079,2714,871,2168,937,1678,835
benchmarks/polyhedral/qft/64.json,3100,1109,3421,1464,2108,936,1815,855
benchmarks/polyhedral/qft/65.json,3599,1316,3306,1069,2151,1033,1907,923
benchmarks/polyhedral/qft/66.json,3725,1300,2654,841,2185,982,1685,703
benchmarks/polyhedral/qft/67.json,3367,1149,3452,1113,2443,1011,2033,944
benchmarks/polyhedral/qft/68.json,3848,1144,3508,1129,2212,1041,2122,804
benchmarks/polyhedral/qft/69.json,3618,1158,3084,1028,2459,1026,2096,825
benchmarks/polyhedral/qft/70.json,4412,1473,4231,1226,2601,1160,2231,951
benchmarks/polyhedral/qft/71.json,4575,1728,3588,971,2514,988,2344,1010
benchmarks/polyhedral/qft/72.json,4383,1481,4184,1412,2758,1150,2094,890
benchmarks/polyhedral/qft/73.json,4922,1715,3989,1357,2747,1149,2597,1112
benchmarks/polyhedral/qft/74.json,4425,1259,4472,2121,2882,1183,2338,804
benchmarks/polyhedral/qft/75.json,4711,1455,4624,1725,2849,1105,2350,931
benchmarks/polyhedral/qft/76.json,5191,1485,4933,1707,2883,1138,2274,767
benchmarks/polyhedral/qft/77.json,5114,1511,4467,1533,2943,1289,2412,956
benchmarks/polyhedral/qft/78.json,5226,1730,4961,1892,3139,1275,2795,1146
benchmarks/polyhedral/qft/79.json,4722,1199,4743,1647,3120,1276,2779,1275
benchmarks/polyhedral/qft/80.json,5670,1587,4611,1247,3048,1243,2873,1311
