file_path,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.4D2_0.json,326,195,326,195,185,156,97,144
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.1D2_1.json,137,161,137,161,50,168,15,74
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.8D2_9.json,457,210,457,210,187,154,135,118
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.4D2_4.json,340,227,340,227,146,152,74,109
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.4D2_3.json,351,189,351,189,131,153,92,95
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.5D2_1.json,386,196,386,196,173,149,91,131
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.4D2_8.json,390,167,390,167,135,128,81,87
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.6D1_.1D2_1.json,127,221,127,221,37,154,16,96
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.5D2_2.json,415,180,415,180,150,126,115,127
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.3D2_0.json,279,199,279,199,129,165,62,99
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.8D2_3.json,549,250,549,250,181,160,160,159
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.3D2_4.json,226,144,226,144,97,122,40,69
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.3D2_8.json,237,125,237,125,113,99,55,60
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.3D2_9.json,269,140,269,140,96,98,73,93
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.3D2_9.json,218,181,218,181,109,155,74,100
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.6D2_8.json,381,179,381,179,187,180,87,76
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.1D2_9.json,101,164,101,164,41,143,15,74
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.5D2_9.json,399,200,399,200,149,158,100,111
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.1D2_9.json,104,86,104,86,42,65,16,48
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.3D2_9.json,278,133,278,133,108,103,58,67
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.6D1_.1D2_8.json,108,193,108,193,53,134,19,111
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.7D2_5.json,433,185,433,185,223,154,114,106
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.3D2_0.json,295,197,295,197,102,121,74,116
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.2D2_3.json,167,167,167,167,106,147,39,78
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.5D2_6.json,399,207,399,207,156,140,107,111
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.4D2_9.json,295,143,295,143,130,116,73,77
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.4D2_4.json,326,172,326,172,122,127,67,84
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.2D2_0.json,171,163,171,163,95,158,45,114
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.3D2_0.json,313,180,313,180,148,121,69,72
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.4D2_2.json,328,182,328,182,138,123,79,92
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.2D2_5.json,183,159,183,159,90,153,43,122
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.7D2_1.json,457,237,457,237,229,156,148,125
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.1D2_8.json,69,90,69,90,58,139,13,65
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.1D2_9.json,134,130,134,130,54,98,20,73
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.6D2_9.json,402,189,402,189,156,175,87,118
