file_path,depth,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.4D2_0.json,45,326,195,158,139,185,156,67,95
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.1D2_1.json,45,137,161,29,85,50,168,14,75
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.8D2_9.json,45,457,210,267,156,187,154,135,118
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.4D2_4.json,45,340,227,160,162,146,152,73,118
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.4D2_3.json,45,351,189,148,111,131,153,88,88
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.5D2_1.json,45,386,196,213,146,173,149,77,109
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.4D2_8.json,45,390,167,144,100,135,128,75,92
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.6D1_.1D2_1.json,45,127,221,24,94,37,154,11,75
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.5D2_2.json,45,415,180,210,127,150,126,95,90
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.3D2_0.json,45,279,199,122,139,129,165,58,107
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.8D2_3.json,45,549,250,257,155,181,160,106,108
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.3D2_4.json,45,226,144,106,91,97,122,53,78
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.3D2_8.json,45,237,125,107,82,113,99,46,60
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.3D2_9.json,45,269,140,130,119,96,98,73,93
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.3D2_9.json,45,218,181,90,124,109,155,52,86
