file_path,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.4D2_0.json,435,249,302,194,197,156,197,156
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.1D2_1.json,112,114,timeout,timeout,52,90,52,90
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.8D2_9.json,704,351,593,330,279,191,242,170
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.4D2_4.json,383,252,288,208,229,185,229,185
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.4D2_3.json,406,247,356,222,182,135,182,135
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.5D2_1.json,447,253,429,253,209,172,209,172
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.4D2_8.json,322,173,350,218,183,163,183,163
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.6D1_.1D2_1.json,125,119,timeout,timeout,53,84,53,84
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.5D2_2.json,546,293,378,198,239,194,239,194
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.3D2_0.json,314,207,279,201,149,148,149,148
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.8D2_3.json,681,352,562,310,332,239,318,264
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.3D2_4.json,252,151,260,137,131,137,131,137
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.3D2_8.json,228,157,245,184,120,115,117,125
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.3D2_9.json,342,222,190,137,121,100,121,100
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.3D2_9.json,271,190,254,172,124,147,124,147
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.6D2_8.json,556,320,401,223,212,165,246,215
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.1D2_9.json,134,109,timeout,timeout,53,78,53,78
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.5D2_9.json,515,299,499,270,237,201,237,201
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.1D2_9.json,107,86,timeout,timeout,42,89,42,89
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.3D2_9.json,287,152,260,141,172,140,172,140
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.6D1_.1D2_8.json,120,101,timeout,timeout,46,81,46,81
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.7D2_5.json,598,351,498,260,273,207,234,169
