file_path,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.4D2_0.json,332,177,150,123,158,166,103,126
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.1D2_1.json,108,174,32,117,42,109,14,79
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.8D2_9.json,528,260,325,203,209,181,129,136
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.4D2_4.json,298,206,196,183,165,183,93,116
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.4D2_3.json,384,242,167,130,149,181,96,127
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.5D2_1.json,431,279,262,200,166,166,116,135
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.4D2_8.json,303,181,180,164,149,156,100,93
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.6D1_.1D2_1.json,101,213,34,102,47,145,16,96
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.5D2_2.json,378,213,212,161,150,134,102,111
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.3D2_0.json,269,209,112,123,126,172,65,88
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.8D2_3.json,619,268,348,205,212,186,170,147
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.3D1_.3D2_4.json,220,149,112,115,140,187,40,94
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.3D2_8.json,219,134,111,82,99,102,57,62
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.3D2_9.json,302,191,141,107,103,142,69,114
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.3D2_9.json,233,214,112,151,117,156,71,114
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.6D2_8.json,432,210,258,158,210,155,106,108
