file_path,depth,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_0.json,100,351,368,153,142,142,258,0,100
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_1.json,100,207,247,105,121,121,252,14,136
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_2.json,100,206,318,122,143,143,272,15,134
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_3.json,100,322,378,132,159,159,310,52,218
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_4.json,100,279,317,133,159,159,292,32,185
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_5.json,100,201,271,105,128,128,256,38,176
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_6.json,100,257,290,104,137,137,269,23,156
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_7.json,100,426,451,113,127,127,296,43,197
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_8.json,100,206,312,126,149,149,245,21,158
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_9.json,100,256,318,134,117,117,250,0,100
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_0.json,200,354,551,252,265,265,566,0,200
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_1.json,200,400,529,243,163,163,456,0,200
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_2.json,200,383,598,203,219,219,488,35,324
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_3.json,200,357,503,236,128,128,504,0,200
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_4.json,200,480,612,193,75,75,341,0,200
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_5.json,200,360,536,246,82,82,384,0,200
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_6.json,200,381,559,212,188,188,499,0,200
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_7.json,200,446,581,261,264,264,490,0,200
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_8.json,200,399,559,245,183,183,531,0,200
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_9.json,200,368,563,198,248,248,502,37,301
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_0.json,300,513,771,300,219,219,603,75,500
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_1.json,300,564,821,361,402,402,664,56,450
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_2.json,300,633,879,323,349,349,763,85,511
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_3.json,300,516,772,351,229,229,680,88,511
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_4.json,300,501,699,389,55,55,374,0,300
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_5.json,300,515,762,341,163,163,571,0,300
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_6.json,300,519,718,339,342,342,721,0,300
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_7.json,300,586,828,307,278,278,645,0,300
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_8.json,300,496,738,314,294,294,886,0,300
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_9.json,300,556,789,367,242,242,693,65,486
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_0.json,400,722,1060,459,326,326,998,128,653
