file_path,depth,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_0.json,100,233,299,234,125,125,314,60,242
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_1.json,100,172,272,117,110,110,233,119,283
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_2.json,100,216,357,195,87,87,267,98,269
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_3.json,100,257,365,217,95,95,277,83,245
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_4.json,100,236,327,205,77,77,236,126,340
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_5.json,100,196,288,126,112,112,263,32,235
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_6.json,100,336,454,129,107,107,291,56,219
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_7.json,100,395,415,162,108,108,250,44,164
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_8.json,100,295,402,158,130,130,248,47,199
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_9.json,100,293,395,168,105,105,284,74,265
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_0.json,200,370,578,379,169,169,511,134,522
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_1.json,200,326,535,209,128,128,468,120,424
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_2.json,200,425,636,380,159,159,515,73,399
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_3.json,200,343,569,381,144,144,447,132,479
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_4.json,200,350,570,260,48,48,313,165,489
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_5.json,200,425,676,301,74,74,309,88,441
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_6.json,200,354,555,299,181,181,521,106,495
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_7.json,200,460,743,332,146,146,498,102,431
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_8.json,200,380,597,424,105,105,382,254,540
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_9.json,200,499,762,307,116,116,443,113,512
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_0.json,300,662,950,408,164,164,656,132,691
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_1.json,300,737,1026,321,321,321,920,177,818
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_2.json,300,469,879,433,289,289,739,96,591
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_3.json,300,413,781,403,298,298,813,179,653
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_4.json,300,744,1067,332,168,168,644,150,614
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_5.json,300,430,788,478,116,116,563,204,732
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_6.json,300,546,844,414,307,307,755,209,714
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_7.json,300,539,868,426,164,164,655,152,704
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_8.json,300,876,1194,461,211,211,729,153,550
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_9.json,300,632,984,472,86,86,452,220,698
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_0.json,400,560,936,535,327,327,1079,255,974
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_1.json,400,559,1080,534,341,341,945,177,780
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_2.json,400,555,1044,563,225,225,877,144,634
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_3.json,400,558,1106,497,209,209,900,163,840
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_4.json,400,736,1061,559,194,194,808,212,1019
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_5.json,400,630,1093,523,221,221,871,166,854
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_6.json,400,655,1101,681,316,316,958,200,915
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_7.json,400,623,1057,567,230,230,991,206,916
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_8.json,400,782,1181,547,149,149,780,158,830
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_9.json,400,617,1077,802,203,203,802,134,743
benchmarks/polyhedral/queko-bss-16qbt/16QBT_500CYC_QSE_0.json,500,746,1258,695,377,377,1249,241,1147
benchmarks/polyhedral/queko-bss-16qbt/16QBT_500CYC_QSE_1.json,500,965,1445,657,344,344,1290,195,984
benchmarks/polyhedral/queko-bss-16qbt/16QBT_500CYC_QSE_2.json,500,759,1507,709,174,174,974,197,1014
benchmarks/polyhedral/queko-bss-16qbt/16QBT_500CYC_QSE_3.json,500,850,1354,725,159,159,860,197,973
benchmarks/polyhedral/queko-bss-16qbt/16QBT_500CYC_QSE_4.json,500,944,1418,618,143,143,890,86,676
benchmarks/polyhedral/queko-bss-16qbt/16QBT_500CYC_QSE_5.json,500,912,1342,748,425,425,1185,429,1262
benchmarks/polyhedral/queko-bss-16qbt/16QBT_500CYC_QSE_6.json,500,798,1437,672,235,235,1061,209,1021
benchmarks/polyhedral/queko-bss-16qbt/16QBT_500CYC_QSE_7.json,500,823,1414,713,300,300,1069,219,1030
benchmarks/polyhedral/queko-bss-16qbt/16QBT_500CYC_QSE_8.json,500,683,1215,996,394,394,1156,276,1017
