file_path,depth,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_0.json,100,411,347,238,316,230,279,230,279
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_1.json,100,270,265,271,281,179,300,179,300
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_2.json,100,283,296,392,321,127,263,127,263
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_3.json,100,350,372,289,320,230,331,230,331
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_4.json,100,355,348,330,313,186,251,186,251
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_5.json,100,414,377,340,305,186,272,186,272
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_6.json,100,360,321,236,304,169,250,169,250
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_7.json,100,509,412,363,331,187,277,187,277
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_8.json,100,238,264,242,266,139,263,139,263
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_9.json,100,422,337,295,254,163,254,163,254
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_0.json,200,489,514,404,571,187,466,187,466
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_1.json,200,623,626,410,537,349,553,349,553
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_2.json,200,825,798,374,552,291,486,291,486
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_3.json,200,644,684,506,706,382,550,382,550
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_4.json,200,540,621,523,640,286,551,286,551
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_5.json,200,471,565,524,591,255,410,255,410
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_6.json,200,607,581,419,600,354,479,354,479
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_7.json,200,693,621,380,532,263,439,263,439
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_8.json,200,458,527,524,616,269,508,269,508
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_9.json,200,522,579,429,607,328,491,328,491
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_0.json,300,894,937,699,803,378,635,378,635
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_1.json,300,825,863,711,917,443,679,443,679
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_2.json,300,917,863,704,996,474,740,474,740
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_3.json,300,745,765,665,875,524,762,524,762
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_4.json,300,721,884,574,786,226,586,226,586
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_5.json,300,748,902,645,837,336,679,336,679
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_6.json,300,848,846,594,807,396,799,396,799
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_7.json,300,748,818,590,781,473,757,473,757
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_8.json,300,760,808,804,976,437,741,437,741
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_9.json,300,825,890,593,795,324,674,324,674
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_0.json,400,1121,1278,1193,1253,336,956,336,956
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_1.json,400,1199,1207,657,1021,265,888,265,888
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_2.json,400,960,1091,974,1244,555,948,555,948
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_3.json,400,969,1284,846,1130,481,987,481,987
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_4.json,400,963,1029,1035,1178,501,982,501,982
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_5.json,400,1345,1383,1115,1188,573,1047,573,1047
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_6.json,400,1017,1074,1028,1158,344,894,344,894
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_7.json,400,1241,1210,1138,1132,88,621,88,621
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_8.json,400,945,1179,953,1216,554,985,554,985
