file_path,depth,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_0.json,100,333,383,139,194,143,281,0,100
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_1.json,100,218,304,122,203,108,252,16,166
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_2.json,100,235,339,102,169,119,322,18,151
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_3.json,100,411,410,123,174,111,258,40,204
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_4.json,100,266,314,120,216,170,278,30,199
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_5.json,100,218,268,113,187,128,282,38,171
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_6.json,100,211,326,129,224,149,310,23,150
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_7.json,100,299,372,119,220,133,270,36,173
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_8.json,100,216,277,117,220,130,313,23,163
benchmarks/polyhedral/queko-bss-16qbt/16QBT_100CYC_QSE_9.json,100,382,467,142,279,171,325,0,100
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_0.json,200,391,587,220,343,173,442,0,200
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_1.json,200,426,559,220,364,241,554,0,200
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_2.json,200,449,660,231,417,227,539,39,331
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_3.json,200,541,660,287,498,94,399,0,200
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_4.json,200,556,695,213,351,109,408,0,200
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_5.json,200,412,620,281,553,224,545,0,200
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_6.json,200,450,564,263,356,236,511,0,200
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_7.json,200,575,691,303,523,200,518,0,200
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_8.json,200,379,550,233,477,160,455,0,200
benchmarks/polyhedral/queko-bss-16qbt/16QBT_200CYC_QSE_9.json,200,410,558,215,346,248,569,39,309
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_0.json,300,584,756,319,539,300,720,77,501
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_1.json,300,601,757,373,588,318,788,54,440
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_2.json,300,609,815,342,514,394,804,97,552
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_3.json,300,642,696,368,591,268,727,85,486
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_4.json,300,559,787,398,770,269,690,0,300
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_5.json,300,526,776,354,556,241,680,0,300
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_6.json,300,541,753,364,552,303,803,0,300
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_7.json,300,701,948,419,773,308,767,0,300
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_8.json,300,743,1044,351,654,344,784,0,300
benchmarks/polyhedral/queko-bss-16qbt/16QBT_300CYC_QSE_9.json,300,625,900,380,583,173,510,61,483
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_0.json,400,842,1140,469,767,267,888,134,680
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_1.json,400,749,1085,458,754,220,751,74,659
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_2.json,400,738,1081,468,779,216,788,70,622
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_3.json,400,766,987,462,739,236,866,0,400
benchmarks/polyhedral/queko-bss-16qbt/16QBT_400CYC_QSE_4.json,400,824,1212,427,703,342,976,0,400
