file_path,depth,qops,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/queko-bss-20qbt/20QBT_600CYC_QSE_2.json,600,8520,3117,2866,2139,2396,1364,1917,1115,1760
benchmarks/polyhedral/queko-bss-20qbt/20QBT_500CYC_QSE_5.json,500,7100,2281,2001,1714,1699,1187,1543,916,1478
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_5.json,700,9940,3217,2963,2490,2499,1677,2445,1217,2098
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_6.json,300,4260,1387,1220,1017,1028,743,1030,492,836
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_2.json,800,11360,3784,3363,3297,3371,1639,2386,1527,2339
benchmarks/polyhedral/queko-bss-20qbt/20QBT_500CYC_QSE_6.json,500,7100,2417,2172,1721,1870,1160,1624,681,1335
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_6.json,800,11360,3755,3548,3383,3344,1745,2615,1185,2124
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_0.json,700,9940,3523,3091,2803,2810,1595,2302,1064,1910
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_0.json,100,1420,572,464,375,366,244,357,159,267
benchmarks/polyhedral/queko-bss-20qbt/20QBT_500CYC_QSE_9.json,500,7100,2183,1985,1695,1746,1189,1662,815,1420
benchmarks/polyhedral/queko-bss-20qbt/20QBT_600CYC_QSE_6.json,600,8520,2818,2347,2282,2239,1498,1979,1008,1728
benchmarks/polyhedral/queko-bss-20qbt/20QBT_500CYC_QSE_2.json,500,7100,2439,2134,1982,1980,1185,1698,924,1501
benchmarks/polyhedral/queko-bss-20qbt/20QBT_400CYC_QSE_2.json,400,5680,1849,1689,1543,1511,977,1377,607,1185
