file_path,depth,qops,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/queko-bss-20qbt/20QBT_600CYC_QSE_2.json,600,8520,3595,3587,4406,3826,1667,2965,1653,2882
benchmarks/polyhedral/queko-bss-20qbt/20QBT_500CYC_QSE_5.json,500,7100,error,error,3438,3069,1458,2453,1213,2332
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_5.json,700,9940,4232,4134,4732,4271,1784,3291,1880,3363
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_6.json,300,4260,error,error,2089,1865,925,1469,820,1438
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_2.json,800,11360,4862,4696,5429,4782,2141,3797,1864,3666
benchmarks/polyhedral/queko-bss-20qbt/20QBT_500CYC_QSE_6.json,500,7100,error,error,3379,3022,1503,2482,1552,2466
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_6.json,800,11360,error,error,5973,5056,2201,3871,2074,3826
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_0.json,700,9940,error,error,5061,4298,1957,3455,1708,3270
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_0.json,100,1420,809,642,740,644,328,488,257,446
benchmarks/polyhedral/queko-bss-20qbt/20QBT_500CYC_QSE_9.json,500,7100,error,error,3533,3051,1379,2411,1278,2326
benchmarks/polyhedral/queko-bss-20qbt/20QBT_600CYC_QSE_6.json,600,8520,error,error,3751,3640,1744,2905,1610,2937
benchmarks/polyhedral/queko-bss-20qbt/20QBT_500CYC_QSE_2.json,500,7100,3323,3084,3382,3046,1336,2381,1487,2404
benchmarks/polyhedral/queko-bss-20qbt/20QBT_400CYC_QSE_2.json,400,5680,error,error,2916,2496,1123,1932,1051,1901
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_7.json,300,4260,error,error,2244,1890,826,1407,851,1422
benchmarks/polyhedral/queko-bss-20qbt/20QBT_600CYC_QSE_3.json,600,8520,error,error,4029,3647,1908,2996,1519,2906
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_2.json,700,9940,error,error,4662,4312,1994,3396,1894,3455
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_3.json,300,4260,error,error,2159,1832,754,1398,802,1410
benchmarks/polyhedral/queko-bss-20qbt/20QBT_900CYC_QSE_5.json,900,12780,5673,5395,5975,5460,2326,4276,2193,4236
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_8.json,800,11360,error,error,5511,4911,2303,3907,2170,3820
benchmarks/polyhedral/queko-bss-20qbt/20QBT_900CYC_QSE_6.json,900,12780,5687,5400,6010,5435,2380,4263,2268,4280
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_3.json,700,9940,error,error,4269,4140,1875,3366,1727,3298
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_9.json,800,11360,5040,4726,5266,4753,2232,3771,2168,3736
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_9.json,100,1420,682,615,775,650,294,481,284,481
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_4.json,300,4260,error,error,1981,1784,782,1415,768,1463
benchmarks/polyhedral/queko-bss-20qbt/20QBT_400CYC_QSE_0.json,400,5680,2442,2346,2522,2378,1089,1920,1089,1874
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_7.json,800,11360,error,error,5273,4786,2185,3873,2131,3848
benchmarks/polyhedral/queko-bss-20qbt/20QBT_600CYC_QSE_1.json,600,8520,error,error,3874,3537,1592,2814,error,error
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_4.json,100,1420,error,error,624,635,295,510,273,508
benchmarks/polyhedral/queko-bss-20qbt/20QBT_500CYC_QSE_0.json,500,7100,error,error,3299,2923,1294,2344,1373,2368
benchmarks/polyhedral/queko-bss-20qbt/20QBT_500CYC_QSE_3.json,500,7100,error,error,3262,2949,1391,2363,1375,2375
benchmarks/polyhedral/queko-bss-20qbt/20QBT_900CYC_QSE_9.json,900,12780,error,error,6044,5470,2636,4448,2493,4400
benchmarks/polyhedral/queko-bss-20qbt/20QBT_600CYC_QSE_5.json,600,8520,error,error,4687,3868,1787,2965,1641,2936
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_8.json,200,2840,error,error,1310,1219,574,984,551,970
benchmarks/polyhedral/queko-bss-20qbt/20QBT_400CYC_QSE_7.json,400,5680,2431,2423,2662,2497,1144,1987,990,1908
benchmarks/polyhedral/queko-bss-20qbt/20QBT_500CYC_QSE_8.json,500,7100,3350,3105,3882,3214,1516,2486,1560,2487
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_5.json,200,2840,1501,1283,1270,1210,564,993,488,934
benchmarks/polyhedral/queko-bss-20qbt/20QBT_900CYC_QSE_0.json,900,12780,error,error,5821,5419,2472,4327,2359,4292
benchmarks/polyhedral/queko-bss-20qbt/20QBT_600CYC_QSE_8.json,600,8520,error,error,3981,3635,1542,2846,1665,2884
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_9.json,700,9940,4417,4115,4705,4180,1934,3329,1802,3304
benchmarks/polyhedral/queko-bss-20qbt/20QBT_600CYC_QSE_0.json,600,8520,4163,3634,4169,3565,1636,2780,1769,2872
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_2.json,100,1420,639,632,786,676,319,514,251,512
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_4.json,800,11360,error,error,5314,4893,2092,3820,2172,3898
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_5.json,800,11360,error,error,5593,4910,2091,3796,1957,3792
