file_path,depth,swaps_trivial,depth_trivial,swaps_default,depth_default
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_0.json,100,696,557,497,446
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_1.json,100,648,527,430,448
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_2.json,100,519,491,448,472
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_3.json,100,603,553,443,431
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_4.json,100,613,549,476,476
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_5.json,100,702,575,531,549
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_6.json,100,556,527,456,478
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_7.json,100,579,498,438,447
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_8.json,100,692,685,337,407
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_9.json,100,526,486,413,475
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_0.json,200,1009,897,926,912
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_1.json,200,996,941,945,947
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_2.json,200,925,949,811,874
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_3.json,200,1182,1079,837,985
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_4.json,200,1138,997,913,985
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_5.json,200,1071,1022,844,909
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_6.json,200,1027,1065,797,871
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_7.json,200,988,904,796,953
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_8.json,200,1175,1099,916,979
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_9.json,200,1165,1049,976,1050
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_0.json,300,1690,1641,1343,1470
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_1.json,300,1477,1494,1207,1332
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_2.json,300,1334,1366,1289,1474
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_3.json,300,1614,1449,1486,1443
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_4.json,300,1418,1481,1145,1380
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_5.json,300,1757,1646,1358,1422
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_6.json,300,1477,1437,1048,1186
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_7.json,300,1261,1418,1310,1452
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_8.json,300,1427,1370,1485,1620
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_9.json,300,1502,1504,1373,1425
benchmarks/polyhedral/queko-bss-20qbt/20QBT_400CYC_QSE_0.json,400,2056,2070,1352,1583
benchmarks/polyhedral/queko-bss-20qbt/20QBT_400CYC_QSE_1.json,400,1762,1642,1533,1648
benchmarks/polyhedral/queko-bss-20qbt/20QBT_400CYC_QSE_2.json,400,2121,2108,1871,1965
benchmarks/polyhedral/queko-bss-20qbt/20QBT_400CYC_QSE_3.json,400,1570,1790,1795,1834
benchmarks/polyhedral/queko-bss-20qbt/20QBT_400CYC_QSE_4.json,400,1869,1938,1716,1927
benchmarks/polyhedral/queko-bss-20qbt/20QBT_400CYC_QSE_5.json,400,1889,1891,1578,1828
benchmarks/polyhedral/queko-bss-20qbt/20QBT_400CYC_QSE_6.json,400,1942,1956,1555,1950
benchmarks/polyhedral/queko-bss-20qbt/20QBT_400CYC_QSE_7.json,400,2180,2086,1693,1785
benchmarks/polyhedral/queko-bss-20qbt/20QBT_400CYC_QSE_8.json,400,1973,1887,1728,1848
benchmarks/polyhedral/queko-bss-20qbt/20QBT_400CYC_QSE_9.json,400,2110,2127,1702,1941
