file_path,depth,qops,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/queko-bss-20qbt/20QBT_600CYC_QSE_2.json,600,8520,2660,2732,2499,2773,1245,2066,1116,2058
benchmarks/polyhedral/queko-bss-20qbt/20QBT_500CYC_QSE_5.json,500,7100,2410,2407,2351,2512,1027,1667,1047,1801
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_5.json,700,9940,2913,3159,2548,2971,1366,2337,1366,2581
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_6.json,300,4260,1477,1437,1048,1186,468,939,560,1105
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_2.json,800,11360,3351,3560,2716,3349,1615,2792,1417,2563
benchmarks/polyhedral/queko-bss-20qbt/20QBT_500CYC_QSE_6.json,500,7100,2248,2295,2057,2169,863,1569,972,1748
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_6.json,800,11360,3427,3776,2975,3393,1726,2978,1536,2734
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_0.json,700,9940,3150,3248,2932,3199,1694,2678,1377,2515
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_0.json,100,1420,696,557,497,446,274,375,235,372
benchmarks/polyhedral/queko-bss-20qbt/20QBT_500CYC_QSE_9.json,500,7100,1967,2246,1641,2008,944,1630,1032,1837
benchmarks/polyhedral/queko-bss-20qbt/20QBT_600CYC_QSE_6.json,600,8520,2584,2724,1963,2319,1191,1901,1222,2183
benchmarks/polyhedral/queko-bss-20qbt/20QBT_500CYC_QSE_2.json,500,7100,2404,2520,2052,2199,1112,1779,958,1604
benchmarks/polyhedral/queko-bss-20qbt/20QBT_400CYC_QSE_2.json,400,5680,2121,2108,1871,1965,945,1524,875,1436
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_7.json,300,4260,1261,1418,1310,1452,574,1038,642,1089
benchmarks/polyhedral/queko-bss-20qbt/20QBT_600CYC_QSE_3.json,600,8520,2588,2714,2511,2781,1083,1969,1314,2096
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_2.json,700,9940,2987,3182,2602,3134,1253,2341,1217,2451
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_3.json,300,4260,1614,1449,1486,1443,545,1005,622,999
benchmarks/polyhedral/queko-bss-20qbt/20QBT_900CYC_QSE_5.json,900,12780,3479,3949,3789,4154,1842,3098,1452,2989
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_8.json,800,11360,3730,3985,3232,3585,1450,2725,1587,2874
