file_path,depth,qops,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/queko-bss-20qbt/20QBT_600CYC_QSE_2.json,600,8520,3522,2498,3522,2498,2061,2081,2061,2081
benchmarks/polyhedral/queko-bss-20qbt/20QBT_500CYC_QSE_5.json,500,7100,3175,2071,3175,2071,1670,1701,1670,1701
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_5.json,700,9940,3946,2795,3946,2795,2235,2283,2235,2283
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_6.json,300,4260,2191,1443,2191,1443,985,951,985,951
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_2.json,800,11360,5097,3455,5097,3455,2449,2475,2449,2475
benchmarks/polyhedral/queko-bss-20qbt/20QBT_500CYC_QSE_6.json,500,7100,3427,2184,3427,2184,1826,1786,1826,1786
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_6.json,800,11360,5094,3544,5094,3544,2942,2671,2942,2671
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_0.json,700,9940,4520,2973,4520,2973,2213,2188,2213,2188
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_0.json,100,1420,707,452,707,452,365,330,365,330
benchmarks/polyhedral/queko-bss-20qbt/20QBT_500CYC_QSE_9.json,500,7100,3109,2066,3109,2066,1702,1602,1702,1602
benchmarks/polyhedral/queko-bss-20qbt/20QBT_600CYC_QSE_6.json,600,8520,3628,2423,3628,2423,1952,1909,1952,1909
benchmarks/polyhedral/queko-bss-20qbt/20QBT_500CYC_QSE_2.json,500,7100,2776,2012,2776,2012,1684,1730,1684,1730
benchmarks/polyhedral/queko-bss-20qbt/20QBT_400CYC_QSE_2.json,400,5680,2577,1820,2577,1820,1420,1437,1420,1437
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_7.json,300,4260,1589,1123,1589,1123,1081,1030,1081,1030
benchmarks/polyhedral/queko-bss-20qbt/20QBT_600CYC_QSE_3.json,600,8520,3389,2357,3389,2357,1884,1934,1884,1934
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_2.json,700,9940,4006,2810,4006,2810,2294,2260,2294,2260
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_3.json,300,4260,1972,1298,1972,1298,1046,1067,1046,1067
benchmarks/polyhedral/queko-bss-20qbt/20QBT_900CYC_QSE_5.json,900,12780,5235,3520,5235,3520,2853,2961,2853,2961
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_8.json,800,11360,5055,3484,5055,3484,2878,2704,2878,2704
benchmarks/polyhedral/queko-bss-20qbt/20QBT_900CYC_QSE_6.json,900,12780,5217,3658,5217,3658,2714,2664,2714,2664
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_3.json,700,9940,4531,2941,4531,2941,2247,2186,2247,2186
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_9.json,800,11360,4694,3020,4694,3020,2597,2617,2597,2617
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_9.json,100,1420,690,513,690,513,365,329,365,329
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_4.json,300,4260,1715,1197,1715,1197,1093,1061,1093,1061
benchmarks/polyhedral/queko-bss-20qbt/20QBT_400CYC_QSE_0.json,400,5680,2466,1641,2466,1641,1296,1216,1296,1216
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_7.json,800,11360,4753,3276,4753,3276,2755,2733,2755,2733
benchmarks/polyhedral/queko-bss-20qbt/20QBT_600CYC_QSE_1.json,600,8520,3638,2414,3638,2414,1935,1971,1935,1971
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_4.json,100,1420,652,399,652,399,405,384,405,384
benchmarks/polyhedral/queko-bss-20qbt/20QBT_500CYC_QSE_0.json,500,7100,3309,2230,3309,2230,1720,1617,1720,1617
benchmarks/polyhedral/queko-bss-20qbt/20QBT_500CYC_QSE_3.json,500,7100,3196,2124,3196,2124,1664,1630,1664,1630
benchmarks/polyhedral/queko-bss-20qbt/20QBT_900CYC_QSE_9.json,900,12780,5360,3845,5360,3845,2822,2795,2822,2795
benchmarks/polyhedral/queko-bss-20qbt/20QBT_600CYC_QSE_5.json,600,8520,3776,2648,3776,2648,1792,1802,1792,1802
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_8.json,200,2840,1268,806,1268,806,712,639,712,639
benchmarks/polyhedral/queko-bss-20qbt/20QBT_400CYC_QSE_7.json,400,5680,2878,1871,2878,1871,1432,1357,1432,1357
benchmarks/polyhedral/queko-bss-20qbt/20QBT_500CYC_QSE_8.json,500,7100,3415,2286,3415,2286,1656,1609,1656,1609
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_5.json,200,2840,1476,952,1476,952,677,660,677,660
benchmarks/polyhedral/queko-bss-20qbt/20QBT_900CYC_QSE_0.json,900,12780,5549,3832,5549,3832,3253,3075,3253,3075
benchmarks/polyhedral/queko-bss-20qbt/20QBT_600CYC_QSE_8.json,600,8520,4106,2757,4106,2757,1956,1998,1956,1998
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_9.json,700,9940,4411,2983,4411,2983,2275,2132,2275,2132
benchmarks/polyhedral/queko-bss-20qbt/20QBT_600CYC_QSE_0.json,600,8520,3981,2611,3981,2611,2162,2041,2162,2041
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_2.json,100,1420,828,522,828,522,373,369,373,369
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_4.json,800,11360,4974,3513,4974,3513,2620,2529,2620,2529
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_5.json,800,11360,4763,3410,4763,3410,2763,2831,2763,2831
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_8.json,100,1420,759,454,759,454,386,390,386,390
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_2.json,300,4260,1864,1212,1864,1212,1102,1043,1102,1043
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_1.json,200,2840,1590,1053,1590,1053,713,698,713,698
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_9.json,200,2840,1498,967,1498,967,673,631,673,631
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_1.json,100,1420,802,533,802,533,336,339,336,339
benchmarks/polyhedral/queko-bss-20qbt/20QBT_900CYC_QSE_4.json,900,12780,5472,3697,5472,3697,3033,3098,3033,3098
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_4.json,700,9940,4183,2985,4183,2985,2386,2365,2386,2365
benchmarks/polyhedral/queko-bss-20qbt/20QBT_400CYC_QSE_8.json,400,5680,2616,1703,2616,1703,1390,1457,1390,1457
