file_path,dept,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_0.json,100,579,463,346,331,266,391,193,303
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_1.json,100,648,499,342,368,253,344,202,280
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_2.json,100,552,443,392,406,252,387,218,352
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_3.json,100,669,478,348,352,239,308,224,373
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_4.json,100,556,468,355,406,278,432,211,340
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_5.json,100,680,465,371,353,251,346,181,269
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_6.json,100,567,462,407,438,292,387,208,324
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_7.json,100,640,506,328,394,249,355,263,339
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_8.json,100,696,573,389,373,344,430,239,428
benchmarks/polyhedral/queko-bss-20qbt/20QBT_100CYC_QSE_9.json,100,633,548,377,401,314,410,198,318
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_0.json,200,971,900,680,706,563,858,405,583
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_1.json,200,1261,1112,785,798,494,740,422,650
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_2.json,200,1066,910,758,778,542,777,454,662
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_3.json,200,1073,1000,892,867,579,843,392,591
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_4.json,200,1061,898,723,747,488,728,450,712
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_5.json,200,989,1021,803,887,536,804,543,734
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_6.json,200,1218,1049,874,832,589,813,434,713
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_7.json,200,1271,1053,807,871,486,752,410,670
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_8.json,200,1119,911,859,771,592,897,395,637
benchmarks/polyhedral/queko-bss-20qbt/20QBT_200CYC_QSE_9.json,200,1186,1021,914,847,491,723,358,606
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_0.json,300,1478,1370,1220,1299,838,1194,725,1098
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_1.json,300,1616,1500,1424,1348,642,956,696,1116
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_2.json,300,1493,1354,1222,1050,797,1010,693,994
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_3.json,300,1412,1195,1343,1228,835,1185,708,1029
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_4.json,300,1618,1437,1110,1173,734,1022,593,918
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_5.json,300,1558,1336,1249,1203,724,1068,734,1150
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_6.json,300,1719,1425,1221,1231,710,990,575,858
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_7.json,300,1521,1489,1068,1175,751,1087,615,901
benchmarks/polyhedral/queko-bss-20qbt/20QBT_300CYC_QSE_8.json,300,1732,1591,1247,1245,821,1161,576,915
