file_path,depth,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/queko-bss-53qbt/53QBT_200CYC_QSE_6.json,200,2330,1383,2859,1579,1343,1195,1123,1175
benchmarks/polyhedral/queko-bss-53qbt/53QBT_200CYC_QSE_7.json,200,2784,1490,3579,1732,1418,1282,1461,1260
benchmarks/polyhedral/queko-bss-53qbt/53QBT_200CYC_QSE_8.json,200,2234,1366,3686,1744,1353,1229,1461,1262
benchmarks/polyhedral/queko-bss-53qbt/53QBT_200CYC_QSE_9.json,200,2727,1540,3651,1835,1387,1256,1003,1215
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_0.json,300,3287,2060,3248,2054,1849,1804,2224,1912
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_1.json,300,3558,2120,3163,2051,1442,1688,1999,1812
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_2.json,300,3775,2214,4181,2337,1840,1822,1984,1878
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_3.json,300,4062,2155,4241,2286,1878,1760,2036,1815
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_4.json,300,2964,1999,2973,2071,1671,1810,1446,1772
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_5.json,300,3494,2062,4393,2299,1689,1760,1689,1737
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_6.json,300,3092,1954,4394,2377,2071,1809,1600,1743
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_7.json,300,3682,2137,4714,2412,2304,1878,1772,1857
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_8.json,300,3334,2091,5044,2511,1725,1832,2027,1874
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_9.json,300,3464,2118,4387,2437,1580,1761,1797,1793
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_0.json,400,3985,2710,4383,2781,2555,2437,1939,2355
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_1.json,400,3740,2676,5641,3124,2602,2495,2113,2377
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_2.json,400,3955,2582,3933,2619,2183,2303,1899,2215
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_3.json,400,4644,2762,4526,2800,2301,2340,1637,2290
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_4.json,400,4461,2790,5012,2870,2312,2414,2070,2319
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_5.json,400,4371,2810,5167,3144,2148,2426,2913,2562
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_6.json,400,4219,2798,6261,3291,2393,2431,2226,2441
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_7.json,400,4929,2861,5709,3108,2146,2309,2520,2431
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_8.json,400,4471,2802,6981,3440,2699,2432,2047,2336
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_9.json,400,4896,2834,6897,3361,2493,2375,1815,2284
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_0.json,500,4260,3257,7431,4054,2647,3002,2723,3005
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_1.json,500,5147,3324,7097,3873,2515,2926,2586,2933
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_2.json,500,4434,3286,7974,4279,3355,3075,2868,3000
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_3.json,500,5821,3465,4664,3282,2357,2814,2279,2776
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_4.json,500,5045,3429,4938,3442,2705,3022,2776,3046
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_5.json,500,5235,3329,6082,3581,2500,2879,2851,2936
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_6.json,500,3879,3148,5064,3367,3005,3020,2596,2981
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_7.json,500,4639,3172,8024,4108,2426,2856,2341,2811
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_8.json,500,4981,3326,6946,3890,3021,3047,2039,2926
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_9.json,500,3690,3218,7004,3889,2827,3029,2330,2978
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_0.json,600,6668,4133,6715,4205,2755,3474,3669,3640
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_1.json,600,5188,3894,6448,4215,3261,3548,3122,3512
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_2.json,600,6052,3974,8221,4395,2964,3495,2921,3438
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_3.json,600,5737,3949,8168,4699,3657,3612,3281,3529
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_4.json,600,5226,3851,timeout,timeout,2368,3387,3156,3521
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_5.json,600,5621,3982,7957,4535,2810,3440,2807,3450
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_6.json,600,6381,3962,9100,4703,2137,3274,3004,3411
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_7.json,600,5695,3881,6109,3997,3455,3576,2952,3470
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_8.json,600,5677,3902,8838,4809,3098,3518,2944,3448
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_9.json,600,5633,3876,5358,3876,3332,3517,3303,3462
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_0.json,700,6568,4573,7436,4761,3359,4027,3489,4006
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_1.json,700,7156,4636,10157,5601,3847,4167,2934,4010
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_2.json,700,6025,4504,9310,5453,2796,3954,2620,3956
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_3.json,700,6525,4693,6606,4842,3694,4271,3903,4271
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_4.json,700,6486,4636,5020,4447,3610,4155,2567,4022
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_5.json,700,7157,4718,8211,5158,3737,4263,3708,4171
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_6.json,700,6724,4584,5960,4473,3390,4005,2878,3943
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_7.json,700,6597,4695,6962,4817,3431,4073,3479,4140
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_8.json,700,6408,4546,10674,5521,4577,4279,4362,4242
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_9.json,700,6894,4636,6471,4594,3220,4038,3127,3980
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_0.json,800,7129,5206,11982,6421,3126,4514,3327,4520
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_1.json,800,7480,5279,7633,5286,3839,4661,3722,4635
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_2.json,800,8914,5532,8586,5512,3366,4514,3372,4593
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_3.json,800,7512,5193,6947,5235,4041,4640,3519,4535
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_4.json,800,7529,5413,10770,6140,4381,4766,4306,4742
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_5.json,800,6205,5037,7966,5365,3528,4588,3567,4558
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_6.json,800,8585,5433,8610,5586,4614,4748,3536,4588
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_7.json,800,6649,5035,9220,5661,4209,4734,4730,4780
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_8.json,800,6676,5111,12535,6505,4175,4713,3027,4542
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_9.json,800,7575,5266,11519,6251,3919,4631,4493,4710
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_0.json,900,9454,5954,8136,5829,3588,5047,3651,5038
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_1.json,900,8854,5944,11338,6451,3973,5172,4674,5178
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_2.json,900,7085,5788,10124,6417,4602,5342,3912,5237
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_3.json,900,7736,5614,10124,6207,3581,5066,3578,5050
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_4.json,900,8869,5876,10026,6289,3876,5148,5012,5288
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_5.json,900,9245,6061,10639,6348,3634,5108,4396,5230
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_6.json,900,9197,6140,11802,6770,4769,5415,3239,5221
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_7.json,900,9748,6137,7197,5760,4968,5332,3914,5187
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_8.json,900,7451,5701,12280,6789,4807,5262,4409,5254
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_9.json,900,7580,5753,10594,6295,4474,5144,3570,5022
