file_path,depth,swaps_trivial,depth_trivial,swaps_default,depth_default
benchmarks/polyhedral/queko-bss-53qbt/53QBT_200CYC_QSE_6.json,200,2126,1543,2537,1519
benchmarks/polyhedral/queko-bss-53qbt/53QBT_200CYC_QSE_7.json,200,2749,1788,2077,1505
benchmarks/polyhedral/queko-bss-53qbt/53QBT_200CYC_QSE_8.json,200,2224,1666,2202,1534
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_0.json,300,2704,1933,2553,2028
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_1.json,300,3005,2197,2972,2401
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_2.json,300,3662,2335,2896,2297
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_3.json,300,3234,2180,2629,2105
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_4.json,300,2935,2081,3145,2183
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_5.json,300,3790,2442,2822,2228
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_6.json,300,2509,2007,2882,2161
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_7.json,300,3278,2259,3433,2353
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_8.json,300,2752,2138,3168,2362
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_9.json,300,2836,1919,2871,2202
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_0.json,400,4650,3351,4082,2905
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_1.json,400,3433,2760,3339,2606
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_2.json,400,4046,2915,3413,2494
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_3.json,400,4066,2983,3979,2815
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_4.json,400,3788,2712,3946,2925
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_5.json,400,4286,3042,3441,3010
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_6.json,400,3580,2901,3741,2722
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_7.json,400,4176,2882,2848,2446
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_8.json,400,4108,3138,3311,2711
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_9.json,400,3974,2928,3628,2968
