file_path,dept,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/queko-bss-53qbt/53QBT_200CYC_QSE_6.json,200,2126,1543,2537,1519,1109,1327,1005,1265
benchmarks/polyhedral/queko-bss-53qbt/53QBT_200CYC_QSE_7.json,200,2749,1788,2077,1505,1173,1384,1003,1221
benchmarks/polyhedral/queko-bss-53qbt/53QBT_200CYC_QSE_8.json,200,2224,1666,2202,1534,947,1312,747,1190
benchmarks/polyhedral/queko-bss-53qbt/53QBT_200CYC_QSE_9.json,200,2314,1440,timeout,timeout,1020,1261,974,1242
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_0.json,300,2704,1933,2553,2028,1532,1791,1452,1593
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_1.json,300,3005,2197,2972,2401,1215,1622,1272,1654
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_2.json,300,3662,2335,2896,2297,1461,1643,1445,1725
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_3.json,300,3234,2180,2629,2105,1517,1792,1108,1515
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_4.json,300,2935,2081,3145,2183,1412,1747,1569,1808
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_5.json,300,3790,2442,2822,2228,1277,1619,1507,1829
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_6.json,300,2509,2007,2882,2161,1322,1766,1577,1750
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_7.json,300,3278,2259,3433,2353,1574,1719,1326,1648
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_8.json,300,2752,2138,3168,2362,1410,1773,1508,1780
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_9.json,300,2836,1919,2871,2202,1019,1429,1410,1775
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_0.json,400,4650,3351,4082,2905,1694,2382,1617,2155
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_1.json,400,3433,2760,3339,2606,1826,2406,1493,2077
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_2.json,400,4046,2915,3413,2494,1584,2022,1445,2057
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_3.json,400,4066,2983,3979,2815,1740,2342,1889,2285
