file_path,depth,qops,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_5.json,400,15053,3125,1821,893,817,1638,1616,298,753
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_5.json,900,33868,6459,4321,2545,3008,3496,3832,741,1664
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_3.json,500,18816,4138,2656,1578,1801,1933,2112,364,1234
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_2.json,700,26342,4857,3317,1191,1896,2418,3202,648,1675
benchmarks/polyhedral/queko-bss-53qbt/53QBT_200CYC_QSE_7.json,200,7527,2130,1199,435,540,1183,959,297,470
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_4.json,800,30105,5392,3287,1834,2427,2849,3550,421,1613
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_7.json,400,15053,3484,1895,1572,1502,1508,1575,550,1149
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_7.json,600,22579,4704,2889,1409,1708,2502,2778,601,1368
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_8.json,400,15053,3763,2323,887,1227,2028,2042,264,829
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_3.json,900,33868,6169,4291,2041,2921,2900,3352,140,1774
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_9.json,600,22579,4262,2717,950,1510,2265,2594,452,1440
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_5.json,800,30105,5360,3724,1836,2137,2454,3193,790,1919
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_5.json,500,18816,3835,2287,1094,1319,1900,2196,473,1090
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_1.json,300,11290,3069,1760,859,794,1456,1334,436,822
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_2.json,500,18816,3883,2591,1213,1523,2379,2462,322,931
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_9.json,700,26342,4635,3128,528,1422,2240,2535,604,1579
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_8.json,300,11290,2099,1307,975,808,1610,1480,294,605
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_4.json,400,15053,3560,2023,1213,1283,1899,2020,454,857
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_3.json,700,26342,6113,3631,962,1820,2513,2986,272,1519
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_6.json,300,11290,2389,1509,798,900,1317,1381,322,832
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_3.json,300,11290,3142,1712,693,846,1434,1357,443,707
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_6.json,400,15053,3793,2321,909,948,1335,1672,171,784
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_1.json,500,18816,4028,2342,427,1046,2032,2046,494,1342
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_2.json,600,22579,4882,3114,1514,1754,2182,2514,861,1421
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_8.json,900,33868,8482,5481,2740,3257,3638,3762,980,2119
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_6.json,700,26342,5191,3629,1156,2146,2904,3223,583,1602
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_8.json,600,22579,4649,3096,949,1357,2037,2500,475,1205
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_4.json,500,18816,4218,2711,1043,1402,2324,2415,369,1198
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_8.json,800,30105,5523,3541,2192,2837,2652,3224,443,1606
benchmarks/polyhedral/queko-bss-53qbt/53QBT_200CYC_QSE_9.json,200,7527,2151,1139,871,607,992,947,282,600
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_8.json,500,18816,4385,2529,582,1194,1734,2139,604,1292
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_6.json,900,33868,7259,4614,1686,2684,2890,3692,344,1819
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_0.json,300,11290,2452,1440,628,618,1393,1383,318,752
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_1.json,600,22579,4174,2785,1050,1628,1935,2181,380,1336
benchmarks/polyhedral/queko-bss-53qbt/53QBT_200CYC_QSE_8.json,200,7527,1477,908,769,762,1239,1072,339,547
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_0.json,900,33868,6904,4667,1888,2508,2927,3449,170,1805
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_7.json,800,30105,4577,3646,1573,2010,3092,3437,782,2107
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_7.json,500,18816,3969,2390,1688,1727,1554,1956,233,861
benchmarks/polyhedral/queko-bss-53qbt/53QBT_200CYC_QSE_6.json,200,7527,2028,1039,700,572,1340,1162,217,531
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_9.json,300,11290,2240,1327,223,603,1409,1292,226,548
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_9.json,400,15053,3206,2029,2075,1641,1931,1973,568,913
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_5.json,600,22579,5007,3148,596,1334,2146,2586,491,1180
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_2.json,900,33868,6167,4251,2141,2918,3273,4001,441,1616
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_7.json,900,33868,6870,4355,679,1805,3249,3983,732,2434
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_0.json,500,18816,4213,2431,1547,1647,2120,2477,149,1032
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_2.json,800,30105,6273,4106,2013,2552,3090,3634,601,2065
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_0.json,700,26342,5751,3717,2941,2844,2751,3030,628,1579
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_6.json,800,30105,6036,4286,2119,2484,2685,3403,482,1717
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_0.json,800,30105,5397,3505,1756,1772,2669,3093,853,1805
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_9.json,800,30105,5580,3484,2054,2639,2448,3228,921,1642
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_4.json,600,22579,4402,2930,878,1433,1832,2149,337,1229
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_6.json,600,22579,5053,2927,1498,1524,1987,2579,328,1317
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_1.json,800,30105,6678,4590,1726,2311,2798,3377,581,1676
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_3.json,400,15053,3415,2017,589,873,1356,1463,290,824
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_1.json,700,26342,3481,2864,374,1182,2764,3150,202,1158
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_7.json,700,26342,5259,3248,1903,2123,2779,3261,210,1290
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_2.json,300,11290,2950,1782,1026,839,1384,1428,294,660
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_8.json,700,26342,5019,3093,1398,2280,3289,3397,623,1458
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_6.json,500,18816,4430,2633,1082,1471,2266,2522,391,930
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_3.json,800,30105,7124,4217,1718,2593,2098,3081,593,1547
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_0.json,400,15053,4008,2194,698,834,1776,2105,366,1006
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_2.json,400,15053,3536,2129,1322,1252,1800,1867,245,808
