file_path,depth,qops,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_5.json,400,15053,3886,2468,900,1103,1526,1962,400,950
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_5.json,900,33868,7318,5037,3097,3190,3886,4734,776,1701
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_3.json,500,18816,3711,2832,1453,1732,2491,2890,623,1613
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_2.json,700,26342,6553,4884,1267,2028,3081,4048,1218,2234
benchmarks/polyhedral/queko-bss-53qbt/53QBT_200CYC_QSE_7.json,200,7527,2568,1552,491,610,1063,1304,445,629
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_4.json,800,30105,7901,5866,2120,2835,3234,4192,718,2067
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_7.json,400,15053,4729,3099,1754,1473,2034,2303,672,1333
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_7.json,600,22579,4843,3474,1834,2063,2339,3107,815,1630
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_8.json,400,15053,4307,2929,1064,1432,1991,2483,306,831
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_3.json,900,33868,7100,5738,2351,3345,3337,4260,275,1780
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_9.json,600,22579,5456,3797,1168,1759,2516,3062,694,1328
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_5.json,800,30105,5353,4200,2071,2500,3575,4134,1202,2169
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_5.json,500,18816,4727,3342,1180,1414,1993,2657,559,1232
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_1.json,300,11290,3459,2518,771,865,1400,1547,400,951
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_2.json,500,18816,4030,3093,1330,1658,2448,2525,428,1129
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_9.json,700,26342,6896,4541,546,1414,2835,3584,798,1632
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_8.json,300,11290,2179,1853,1280,1114,1475,1873,341,670
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_4.json,400,15053,2955,2232,1380,1362,1880,2193,432,935
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_3.json,700,26342,6802,4913,868,1701,3163,4071,333,1630
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_6.json,300,11290,3317,2070,879,1044,1994,2117,363,943
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_3.json,300,11290,3071,2171,811,915,1807,1901,572,904
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_6.json,400,15053,3787,2571,959,1000,1636,2272,405,1161
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_1.json,500,18816,3787,3096,463,1025,2223,2854,574,1189
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_2.json,600,22579,5475,3835,1616,2004,2679,3378,830,1500
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_8.json,900,33868,7154,5415,3219,3563,3780,4745,1194,2283
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_6.json,700,26342,4583,3548,1679,2608,3453,3970,481,1582
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_8.json,600,22579,4927,3504,1001,1475,2683,3068,577,1204
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_4.json,500,18816,4695,3123,1588,1918,2456,2714,427,1285
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_8.json,800,30105,6163,4731,2253,2832,3711,4380,549,1657
benchmarks/polyhedral/queko-bss-53qbt/53QBT_200CYC_QSE_9.json,200,7527,2265,1481,1034,949,1192,1241,351,628
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_8.json,500,18816,4608,3214,609,1205,1892,2547,973,1644
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_6.json,900,33868,7847,6171,2048,2701,3814,5012,283,1458
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_0.json,300,11290,3025,2020,678,678,1876,2163,506,841
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_1.json,600,22579,5570,3759,1288,1974,2963,3423,411,1401
benchmarks/polyhedral/queko-bss-53qbt/53QBT_200CYC_QSE_8.json,200,7527,1748,1212,905,870,1156,1185,414,682
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_0.json,900,33868,8414,6252,1823,2580,4023,4809,180,1770
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_7.json,800,30105,6352,4728,1794,2207,3376,3911,1043,2174
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_7.json,500,18816,4283,3200,1754,1808,2564,3092,255,931
benchmarks/polyhedral/queko-bss-53qbt/53QBT_200CYC_QSE_6.json,200,7527,2388,1564,814,772,1258,1383,251,536
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_9.json,300,11290,2945,2001,233,617,1473,1826,315,718
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_9.json,400,15053,3339,2339,2601,2151,2432,2488,634,1020
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_5.json,600,22579,5399,3889,614,1331,2754,3383,587,1370
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_2.json,900,33868,6453,4994,2510,3222,3413,4349,462,1848
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_7.json,900,33868,6043,4951,669,1806,4151,5012,797,2416
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_0.json,500,18816,4550,3175,1503,1762,2153,2619,141,988
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_2.json,800,30105,6340,4614,2123,2643,2891,3813,829,2255
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_0.json,700,26342,5203,4083,2327,2516,3454,3818,558,1393
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_6.json,800,30105,5613,4546,3080,3178,3213,4053,654,1883
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_0.json,800,30105,6589,4668,1919,2105,3458,4372,1489,2527
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_9.json,800,30105,4951,4265,1934,2350,3675,4597,955,1795
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_4.json,600,22579,4851,3582,1321,1593,3071,3442,344,1225
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_6.json,600,22579,5490,4118,1993,1958,2768,3257,507,1360
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_1.json,800,30105,7094,5137,2193,2565,3654,4352,613,1791
