file_path,dept,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_0.json,100,1937,793,1015,457,781,554,482,339
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_1.json,100,1822,743,1064,498,993,637,389,294
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_2.json,100,1886,751,1108,460,1091,658,432,336
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_3.json,100,1660,641,1036,491,1114,631,410,345
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_4.json,100,1901,790,1100,484,1017,649,501,359
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_5.json,100,1904,767,988,439,1149,653,488,420
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_6.json,100,1634,657,1044,411,1068,628,410,332
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_7.json,100,1995,798,1131,524,973,603,438,359
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_8.json,100,1998,850,1084,494,1044,620,429,300
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_9.json,100,1417,625,1017,459,788,583,433,324
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_0.json,200,3394,1316,2142,1056,1814,1218,853,675
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_1.json,200,3471,1478,2130,962,1354,866,770,596
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_2.json,200,3206,1316,2212,957,1712,1043,927,691
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_3.json,200,3131,1192,2065,991,1591,1075,850,638
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_4.json,200,2984,1300,2098,1030,1615,986,813,651
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_5.json,200,3549,1426,1866,879,1478,904,922,600
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_6.json,200,3139,1360,2007,1015,1634,1108,821,698
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_7.json,200,3434,1344,2036,885,1723,1202,933,694
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_8.json,200,3070,1260,2117,1004,1642,1047,762,626
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_9.json,200,2906,1239,1942,878,1614,1097,772,648
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_0.json,300,4144,1807,3008,1391,1897,1291,1232,988
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_1.json,300,4327,1892,3118,1432,2116,1514,1097,925
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_2.json,300,4147,1814,3103,1469,2317,1495,1372,1029
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_3.json,300,4696,2000,3251,1491,2549,1676,1388,1021
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_4.json,300,4190,1814,2914,1450,2560,1704,1061,965
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_5.json,300,4216,1871,3358,1504,2202,1532,1261,1024
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_6.json,300,5157,2093,3116,1520,1911,1350,1157,997
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_7.json,300,4017,1873,2889,1448,2198,1568,1164,929
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_8.json,300,4209,1892,3243,1537,1903,1360,1305,1114
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_9.json,300,4658,2061,2924,1405,2196,1367,1293,991
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_0.json,400,6404,2631,4133,1899,2532,1953,1910,1421
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_1.json,400,5374,2459,4142,2086,2976,1994,1642,1286
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_2.json,400,6489,2857,4325,2052,2710,1894,1602,1278
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_3.json,400,6295,2754,4164,1929,2880,1877,1792,1386
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_4.json,400,5548,2450,4232,2057,2923,1957,1603,1353
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_5.json,400,6034,2783,4380,2175,2401,1729,1715,1500
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_6.json,400,4960,2192,4175,1940,2441,1771,1662,1347
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_7.json,400,6634,2777,4473,2078,3219,2208,1933,1520
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_8.json,400,6124,2760,4599,2074,2969,1925,1685,1291
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_9.json,400,5898,2403,4087,1897,2420,1831,1531,1350
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_0.json,500,6631,3074,5398,2604,3089,2190,2034,1590
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_1.json,500,6822,3071,5291,2607,3002,2127,1937,1631
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_2.json,500,6330,2969,5157,2678,3366,2340,1898,1726
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_3.json,500,7244,3385,5555,2677,3469,2599,2072,1672
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_4.json,500,7768,3376,5130,2473,3098,2283,2000,1539
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_5.json,500,8100,3618,5089,2573,3262,2239,2079,1605
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_6.json,500,6646,2970,5804,2514,2402,1931,2161,1769
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_7.json,500,7106,3225,5332,2535,3545,2397,2027,1678
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_8.json,500,7723,3405,5563,2773,3310,2495,1963,1708
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_9.json,500,6615,3001,5036,2589,3490,2366,2073,1660
