file_path,depth,swaps_trivial,depth_trivial,swaps_default,depth_default
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_0.json,100,1937,793,1015,457
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_1.json,100,1822,743,1064,498
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_2.json,100,1886,751,1108,460
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_3.json,100,1660,641,1036,491
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_4.json,100,1901,790,1100,484
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_5.json,100,1904,767,988,439
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_6.json,100,1634,657,1044,411
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_7.json,100,1995,798,1131,524
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_8.json,100,1998,850,1084,494
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_9.json,100,1417,625,1017,459
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_0.json,200,3394,1316,2142,1056
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_1.json,200,3471,1478,2130,962
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_2.json,200,3206,1316,2212,957
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_3.json,200,3131,1192,2065,991
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_4.json,200,2984,1300,2098,1030
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_5.json,200,3549,1426,1866,879
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_6.json,200,3139,1360,2007,1015
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_7.json,200,3434,1344,2036,885
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_8.json,200,3070,1260,2117,1004
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_9.json,200,2906,1239,1942,878
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_0.json,300,4144,1807,3008,1391
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_1.json,300,4327,1892,3118,1432
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_2.json,300,4147,1814,3103,1469
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_3.json,300,4696,2000,3251,1491
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_4.json,300,4190,1814,2914,1450
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_5.json,300,4216,1871,3358,1504
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_6.json,300,5157,2093,3116,1520
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_7.json,300,4017,1873,2889,1448
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_8.json,300,4209,1892,3243,1537
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_9.json,300,4658,2061,2924,1405
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_0.json,400,6404,2631,4133,1899
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_1.json,400,5374,2459,4142,2086
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_2.json,400,6489,2857,4325,2052
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_3.json,400,6295,2754,4164,1929
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_4.json,400,5548,2450,4232,2057
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_5.json,400,6034,2783,4380,2175
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_6.json,400,4960,2192,4175,1940
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_7.json,400,6634,2777,4473,2078
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_8.json,400,6124,2760,4599,2074
