file_path,depth,qops,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_6.json,700,26839,8872,4168,6841,3680,3695,2931,3181,2607
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_3.json,600,23004,7323,3609,5834,3010,3796,2915,2244,2077
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_0.json,400,15336,5038,2338,4033,2080,2976,2149,1629,1387
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_6.json,900,34506,11535,5638,10540,5219,5057,4064,3566,3248
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_0.json,600,23004,7619,3591,5956,3254,3324,2513,2640,2400
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_5.json,700,26839,7255,3691,7124,3654,3515,2863,2638,2365
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_2.json,300,11502,4035,1746,3607,1666,2607,1823,1309,1030
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_4.json,800,30672,11017,5128,7761,4029,4510,3623,3214,2751
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_7.json,900,34506,10360,5143,9390,4757,4844,4027,3802,3172
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_7.json,100,3834,1650,640,1027,447,855,512,480,336
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_4.json,700,26839,9102,4463,7372,3714,3613,2909,2965,2443
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_3.json,200,7668,3137,1393,1957,971,1630,1060,792,667
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_5.json,500,19170,7095,3345,4992,2642,3371,2607,2142,1696
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_0.json,900,34506,12494,5905,9238,4999,5236,3966,3639,3174
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_1.json,300,11502,3970,1836,3035,1432,2070,1554,1150,934
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_5.json,900,34506,12269,5966,9218,4770,5810,4811,3181,3137
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_4.json,600,23004,7551,3464,6224,3179,3957,3108,2457,2162
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_3.json,300,11502,4400,1954,3036,1380,2291,1613,1383,1083
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_9.json,800,30672,10340,4969,8227,4341,4521,3576,2702,2555
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_0.json,500,19170,8070,3480,4973,2625,2544,2098,1832,1658
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_6.json,100,3834,1787,791,1035,468,992,546,384,329
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_9.json,500,19170,6676,3303,5001,2478,3611,2656,2232,1740
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_8.json,700,26839,9977,4729,7367,4091,5166,3969,2446,2317
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_5.json,800,30672,11317,5136,7942,4221,4952,4008,3460,2739
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_7.json,700,26839,9113,4519,7673,3829,3973,3139,2911,2556
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_1.json,400,15336,6029,2667,3823,1910,2750,2112,1563,1348
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_2.json,800,30672,10714,5122,8473,4086,4971,3867,3172,2852
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_2.json,400,15336,6272,2818,4020,2102,2828,2057,1545,1289
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_1.json,900,34506,11342,5477,9031,4795,5624,4443,3775,3275
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_7.json,600,23004,8438,3957,6181,2937,4015,2899,2440,1977
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_3.json,500,19170,6018,2799,4782,2394,2898,2407,1935,1751
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_2.json,700,26839,8851,4119,6772,3616,5011,3819,2605,2306
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_4.json,100,3834,2056,808,1007,469,1011,716,459,350
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_8.json,400,15336,4981,2255,4542,2277,2974,2110,1669,1427
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_8.json,800,30672,9362,4790,8464,4405,4441,3602,3189,2850
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_4.json,400,15336,5893,2663,4104,2050,2651,2006,1703,1415
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_8.json,600,23004,7578,3750,7016,3361,3583,2485,2333,2166
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_0.json,300,11502,4492,2023,3037,1547,2034,1503,1262,969
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_8.json,500,19170,7035,3316,4942,2497,3929,2971,1929,1799
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_9.json,200,7668,2979,1339,1802,877,1587,1192,819,753
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_4.json,500,19170,6359,2869,5100,2523,3696,2642,1804,1606
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_1.json,500,19170,6467,3121,4856,2633,3458,2574,2009,1749
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_9.json,400,15336,4961,2302,4277,2094,3055,2118,1680,1331
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_2.json,100,3834,1775,712,1072,481,902,576,430,343
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_1.json,100,3834,1825,721,1020,469,915,616,406,320
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_6.json,200,7668,3416,1448,1872,877,1548,1096,780,692
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_0.json,700,26839,8044,3956,6984,3750,3681,3009,2334,2161
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_2.json,200,7668,2683,1221,2178,983,1613,1192,937,716
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_7.json,500,19170,6529,2980,5165,2619,3503,2486,1999,1780
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_2.json,900,34506,11295,5375,9188,4664,5361,4226,3222,3092
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_0.json,800,30672,10396,4927,7882,4068,4752,3605,3242,2797
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_3.json,400,15336,5675,2371,3722,1954,2244,1709,1721,1389
