file_path,depth,swaps_trivial,depth_trivial,swaps_default,depth_default
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_0.json,100,2921,856,2822,793
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_1.json,100,3078,821,2942,896
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_2.json,100,3043,875,3060,897
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_3.json,100,2844,783,2724,805
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_4.json,100,2881,823,2779,803
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_5.json,100,3172,968,2739,766
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_6.json,100,2811,804,2829,811
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_7.json,100,2931,771,2654,725
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_8.json,100,3299,979,2818,803
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_9.json,100,2738,825,3000,888
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_0.json,200,5442,1621,5211,1593
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_1.json,200,5693,1668,5227,1432
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_2.json,200,5261,1553,5717,1610
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_3.json,200,5202,1390,5061,1333
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_4.json,200,5193,1456,5683,1625
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_5.json,200,5422,1461,5935,1806
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_6.json,200,4714,1275,4906,1377
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_7.json,200,5124,1429,5163,1358
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_8.json,200,5687,1609,5097,1416
