file_path,depth,qops,sherbrooke_256_swaps_trivial,sherbrooke_256_depth_trivial,sherbrooke_256_swaps_default,sherbrooke_256_depth_default
benchmarks/polyhedral/queko-bss-256qbt/256QBT_100CYC_QSE_0.json,100,12800,22876,2129,9097,742
benchmarks/polyhedral/queko-bss-256qbt/256QBT_100CYC_QSE_1.json,100,12800,21125,1823,10104,872
benchmarks/polyhedral/queko-bss-256qbt/256QBT_100CYC_QSE_2.json,100,12800,22247,1935,9677,876
benchmarks/polyhedral/queko-bss-256qbt/256QBT_100CYC_QSE_3.json,100,12800,24696,2229,10392,873
benchmarks/polyhedral/queko-bss-256qbt/256QBT_100CYC_QSE_4.json,100,12800,23096,2010,9343,773
benchmarks/polyhedral/queko-bss-256qbt/256QBT_100CYC_QSE_5.json,100,12800,21245,1942,10253,1127
benchmarks/polyhedral/queko-bss-256qbt/256QBT_100CYC_QSE_6.json,100,12800,23705,1977,8738,777
benchmarks/polyhedral/queko-bss-256qbt/256QBT_100CYC_QSE_7.json,100,12800,23374,1994,9535,834
benchmarks/polyhedral/queko-bss-256qbt/256QBT_100CYC_QSE_8.json,100,12800,20008,1608,9653,814
benchmarks/polyhedral/queko-bss-256qbt/256QBT_100CYC_QSE_9.json,100,12800,26407,2266,9012,718
benchmarks/polyhedral/queko-bss-256qbt/256QBT_200CYC_QSE_0.json,200,25600,34039,2997,17835,1523
benchmarks/polyhedral/queko-bss-256qbt/256QBT_200CYC_QSE_1.json,200,25600,35776,3159,16216,1348
benchmarks/polyhedral/queko-bss-256qbt/256QBT_200CYC_QSE_2.json,200,25600,35248,3522,17621,1492
benchmarks/polyhedral/queko-bss-256qbt/256QBT_200CYC_QSE_3.json,200,25600,35849,3669,16661,1435
benchmarks/polyhedral/queko-bss-256qbt/256QBT_200CYC_QSE_4.json,200,25600,36699,3533,17003,1502
benchmarks/polyhedral/queko-bss-256qbt/256QBT_200CYC_QSE_5.json,200,25600,33520,2971,16258,1413
benchmarks/polyhedral/queko-bss-256qbt/256QBT_200CYC_QSE_6.json,200,25600,39144,3687,17801,1636
benchmarks/polyhedral/queko-bss-256qbt/256QBT_200CYC_QSE_7.json,200,25600,34947,2886,18540,1735
benchmarks/polyhedral/queko-bss-256qbt/256QBT_300CYC_QSE_0.json,300,38400,41031,3616,25632,2492
benchmarks/polyhedral/queko-bss-256qbt/256QBT_300CYC_QSE_1.json,300,38400,45053,4295,24421,2249
benchmarks/polyhedral/queko-bss-256qbt/256QBT_300CYC_QSE_2.json,300,38400,51617,4874,24299,2242
benchmarks/polyhedral/queko-bss-256qbt/256QBT_300CYC_QSE_3.json,300,38400,49111,4893,25850,2397
benchmarks/polyhedral/queko-bss-256qbt/256QBT_300CYC_QSE_4.json,300,38400,51570,4695,24300,2449
benchmarks/polyhedral/queko-bss-256qbt/256QBT_300CYC_QSE_5.json,300,38400,44605,4566,25017,2114
benchmarks/polyhedral/queko-bss-256qbt/256QBT_300CYC_QSE_6.json,300,38400,53168,4913,25745,2407
