file_path,depth,qops,sherbrooke_256_swaps_trivial,sherbrooke_256_depth_trivial,sherbrooke_256_swaps_default,sherbrooke_256_depth_default
benchmarks/polyhedral/queko-bss-256qbt/256QBT_100CYC_QSE_0.json,100,12800,26375,3787,11985,1643
benchmarks/polyhedral/queko-bss-256qbt/256QBT_100CYC_QSE_1.json,100,12800,29247,3964,13356,1718
benchmarks/polyhedral/queko-bss-256qbt/256QBT_100CYC_QSE_2.json,100,12800,26194,3361,13267,1714
benchmarks/polyhedral/queko-bss-256qbt/256QBT_100CYC_QSE_3.json,100,12800,28494,4268,13505,1502
benchmarks/polyhedral/queko-bss-256qbt/256QBT_100CYC_QSE_4.json,100,12800,30003,4067,13125,1569
benchmarks/polyhedral/queko-bss-256qbt/256QBT_100CYC_QSE_5.json,100,12800,26751,3741,14256,1829
benchmarks/polyhedral/queko-bss-256qbt/256QBT_100CYC_QSE_6.json,100,12800,26228,3419,11595,1367
benchmarks/polyhedral/queko-bss-256qbt/256QBT_100CYC_QSE_7.json,100,12800,28524,4314,13103,1565
benchmarks/polyhedral/queko-bss-256qbt/256QBT_100CYC_QSE_8.json,100,12800,26434,3656,12615,1518
benchmarks/polyhedral/queko-bss-256qbt/256QBT_100CYC_QSE_9.json,100,12800,29249,3921,11867,1441
benchmarks/polyhedral/queko-bss-256qbt/256QBT_200CYC_QSE_0.json,200,25600,50586,7024,23890,2768
benchmarks/polyhedral/queko-bss-256qbt/256QBT_200CYC_QSE_1.json,200,25600,45621,6228,23468,2783
benchmarks/polyhedral/queko-bss-256qbt/256QBT_200CYC_QSE_2.json,200,25600,47898,6405,25423,3396
benchmarks/polyhedral/queko-bss-256qbt/256QBT_200CYC_QSE_3.json,200,25600,47676,6377,22710,2707
benchmarks/polyhedral/queko-bss-256qbt/256QBT_200CYC_QSE_4.json,200,25600,46154,6553,23231,2800
benchmarks/polyhedral/queko-bss-256qbt/256QBT_200CYC_QSE_5.json,200,25600,47757,6584,23540,2833
benchmarks/polyhedral/queko-bss-256qbt/256QBT_200CYC_QSE_6.json,200,25600,48081,6646,23483,2787
benchmarks/polyhedral/queko-bss-256qbt/256QBT_200CYC_QSE_7.json,200,25600,43664,5878,26584,3142
benchmarks/polyhedral/queko-bss-256qbt/256QBT_200CYC_QSE_8.json,200,25600,48632,6906,23359,2920
benchmarks/polyhedral/queko-bss-256qbt/256QBT_200CYC_QSE_9.json,200,25600,49354,6836,25257,3056
benchmarks/polyhedral/queko-bss-256qbt/256QBT_300CYC_QSE_0.json,300,38400,59820,8519,35371,4207
benchmarks/polyhedral/queko-bss-256qbt/256QBT_300CYC_QSE_1.json,300,38400,58793,8094,35733,4680
benchmarks/polyhedral/queko-bss-256qbt/256QBT_300CYC_QSE_2.json,300,38400,66215,9017,35043,4126
benchmarks/polyhedral/queko-bss-256qbt/256QBT_300CYC_QSE_3.json,300,38400,61543,8757,37086,4654
benchmarks/polyhedral/queko-bss-256qbt/256QBT_300CYC_QSE_4.json,300,38400,56404,8207,35152,4267
benchmarks/polyhedral/queko-bss-256qbt/256QBT_300CYC_QSE_5.json,300,38400,59142,8266,35766,4633
benchmarks/polyhedral/queko-bss-256qbt/256QBT_300CYC_QSE_6.json,300,38400,69653,9833,35552,4261
benchmarks/polyhedral/queko-bss-256qbt/256QBT_300CYC_QSE_7.json,300,38400,59296,8415,33956,3958
benchmarks/polyhedral/queko-bss-256qbt/256QBT_300CYC_QSE_8.json,300,38400,65010,9010,33939,4239
benchmarks/polyhedral/queko-bss-256qbt/256QBT_300CYC_QSE_9.json,300,38400,62812,8720,34824,4348
benchmarks/polyhedral/queko-bss-256qbt/256QBT_400CYC_QSE_0.json,400,51200,82349,11890,46544,5667
benchmarks/polyhedral/queko-bss-256qbt/256QBT_400CYC_QSE_1.json,400,51200,69321,9275,45244,5673
benchmarks/polyhedral/queko-bss-256qbt/256QBT_400CYC_QSE_2.json,400,51200,82419,11567,46408,5541
benchmarks/polyhedral/queko-bss-256qbt/256QBT_400CYC_QSE_3.json,400,51200,76840,10703,46376,5848
benchmarks/polyhedral/queko-bss-256qbt/256QBT_400CYC_QSE_4.json,400,51200,72249,10314,46008,6264
benchmarks/polyhedral/queko-bss-256qbt/256QBT_400CYC_QSE_5.json,400,51200,79489,11561,48096,6051
benchmarks/polyhedral/queko-bss-256qbt/256QBT_400CYC_QSE_6.json,400,51200,76450,10480,45935,5453
benchmarks/polyhedral/queko-bss-256qbt/256QBT_400CYC_QSE_7.json,400,51200,79098,10960,46411,5791
benchmarks/polyhedral/queko-bss-256qbt/256QBT_400CYC_QSE_8.json,400,51200,77833,10351,46034,5750
benchmarks/polyhedral/queko-bss-256qbt/256QBT_400CYC_QSE_9.json,400,51200,78799,10780,45685,5777
benchmarks/polyhedral/queko-bss-256qbt/256QBT_500CYC_QSE_0.json,500,64000,101177,14653,60365,7797
benchmarks/polyhedral/queko-bss-256qbt/256QBT_500CYC_QSE_1.json,500,64000,82719,11613,60359,7783
benchmarks/polyhedral/queko-bss-256qbt/256QBT_500CYC_QSE_2.json,500,64000,88870,12092,61195,7973
