file_path,decay,more_executed,closure,sabre_swap_count
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_7.json,7113,7855,6990,8393
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_9.json,2056,2378,2019,2212
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_0.json,2282,2429,2245,3004
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_8.json,3525,3970,3400,3797
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_6.json,7353,8348,6732,8049
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_4.json,8654,8505,8061,9217
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_7.json,8028,8514,7933,9227
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_9.json,4499,4591,4571,4704
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_7.json,9121,9609,8587,10537
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_0.json,10774,11145,9840,11349
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_0.json,4256,4928,4151,4828
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_5.json,2050,2396,2080,2316
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_5.json,3810,3744,3605,3826
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_1.json,7350,8431,7922,8919
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_1.json,6006,5851,5334,6052
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_2.json,9964,11043,10012,11267
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_0.json,5464,6152,5425,6253
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_4.json,8995,9793,9360,10282
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_5.json,5650,6298,5687,6173
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_8.json,2041,2408,2136,2647
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_4.json,3340,3326,2895,3631
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_0.json,1220,1190,1183,1155
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_2.json,2378,2577,2287,2622
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_8.json,4630,4782,4422,5031
