file_path,decay,more_executed,closure,sabre_swap_count
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_7.json,8949,10205,8683,9809
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_9.json,3558,3084,3126,3483
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_0.json,3278,3940,3328,3787
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_8.json,5395,5220,4583,4845
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_6.json,11527,11128,10681,10363
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_4.json,11202,11149,10319,9992
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_7.json,9691,10370,9922,9968
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_9.json,5568,6359,5916,6785
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_7.json,11423,11266,11055,12588
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_0.json,12305,13080,12831,14491
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_0.json,6174,7027,5530,6582
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_5.json,3640,3775,3666,3614
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_5.json,4908,4636,5093,4694
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_1.json,9224,10582,8809,9877
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_1.json,8534,7645,7028,8687
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_2.json,13617,12274,11837,12833
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_0.json,7078,7903,6883,8328
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_4.json,10314,11877,12219,11607
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_5.json,7203,7238,6882,7860
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_8.json,3234,3521,3273,4241
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_4.json,4543,4753,4249,4739
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_0.json,2113,1918,1764,2232
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_2.json,3429,3359,3567,3392
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_8.json,5207,6611,5857,6884
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_2.json,8156,9542,8720,9790
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_2.json,4222,4932,4478,4768
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_7.json,12572,13362,10598,13702
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_5.json,5914,6362,5575,7506
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_4.json,6400,6787,5305,6131
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_1.json,1907,2038,2135,1928
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_7.json,4930,4355,5036,5013
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_2.json,11539,13622,12050,11041
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_3.json,10929,11757,8649,9306
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_0.json,12255,11445,11375,11867
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_5.json,1800,1894,1816,2054
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_8.json,10700,12670,10740,12520
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_5.json,7964,9392,7673,9237
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_4.json,7846,8129,7064,8147
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_5.json,9046,11481,9132,11183
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_2.json,7324,6713,7100,7533
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_8.json,2037,2136,1946,2060
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_0.json,8316,8591,9148,10016
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_2.json,6734,6495,5019,6737
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_3.json,8221,8611,7364,8670
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_6.json,11799,11678,12264,13520
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_6.json,7734,7496,6329,7643
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_0.json,5253,5147,4421,4071
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_1.json,3542,3426,3161,3541
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_9.json,9615,9731,8834,10007
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_7.json,7699,7307,6705,9123
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_8.json,6856,7899,7633,7867
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_3.json,2159,2064,2133,1971
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_1.json,10729,11225,10592,11045
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_5.json,10846,11434,10115,12630
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_9.json,1817,2192,1898,1652
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_8.json,8319,9165,8453,9736
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_4.json,2054,2270,2061,1879
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_4.json,8764,8354,7949,10332
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_3.json,5703,6399,6261,7048
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_3.json,4217,5599,4669,5601
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_2.json,10010,10585,9601,10914
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_8.json,9679,12167,10377,12101
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_9.json,11387,11939,10551,11230
benchmarks/polyhedral/queko-bss-54qbt/54QBT_200CYC_QSE_3.json,3791,3611,3585,3425
benchmarks/polyhedral/queko-bss-54qbt/54QBT_500CYC_QSE_9.json,8064,7406,7297,8768
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_6.json,6141,5830,6204,6363
benchmarks/polyhedral/queko-bss-54qbt/54QBT_400CYC_QSE_7.json,6622,6136,6239,7288
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_6.json,11099,10951,11356,12484
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_9.json,13468,14424,10845,13227
benchmarks/polyhedral/queko-bss-54qbt/54QBT_700CYC_QSE_0.json,10406,8778,8305,9756
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_3.json,8847,7211,7141,9730
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_3.json,12677,12867,12666,13852
benchmarks/polyhedral/queko-bss-54qbt/54QBT_600CYC_QSE_1.json,8395,8855,8097,9302
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_5.json,13543,13429,12167,13672
benchmarks/polyhedral/queko-bss-54qbt/54QBT_300CYC_QSE_6.json,5015,4699,4349,4763
benchmarks/polyhedral/queko-bss-54qbt/54QBT_100CYC_QSE_2.json,2042,1868,1985,2012
